Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level,Icon,Audio Link,Real Audio
Bulag,Blind,Boo-lag,Bulag ang matanda.,The old man is blind.,,3,🟠,https://example.com/audio/tagalog/bulag.mp3,./tagalog_audio/bulag.mp3
Bulaklak,Flower,Boo-lak-lak,Maganda ang bulaklak sa hardin.,The flower in the garden is beautiful.,,3,🟠,https://example.com/audio/tagalog/bulaklak.mp3,./tagalog_audio/bulaklak.mp3
Bulbol,Pubic hair,Bool-bol,Malinis ang bulbol niya.,His pubic hair is clean.,,3,🟠,https://example.com/audio/tagalog/bulbol.mp3,./tagalog_audio/bulbol.mp3
Bulok,Rotten,Boo-lok,Bulok ang mansanas.,The apple is rotten.,,3,🟠,https://example.com/audio/tagalog/bulok.mp3,./tagalog_audio/bulok.mp3
Bulsilyo,Pocket,Bool-seel-yoh,Nasa bulsilyo ang pera ko.,My money is in the pocket.,,3,🟠,https://example.com/audio/tagalog/bulsilyo.mp3,./tagalog_audio/bulsilyo.mp3
Bulto,Bundle,Bool-toh,Mabigat ang bulto na iyan.,That bundle is heavy.,,3,🟠,https://example.com/audio/tagalog/bulto.mp3,./tagalog_audio/bulto.mp3
Bulyaw,Shout,Bool-yow,Bulyaw mo siya.,Shout at him.,,3,🟠,https://example.com/audio/tagalog/bulyaw.mp3,./tagalog_audio/bulyaw.mp3
Bumaba,Go down,Boo-mah-bah,Bumaba ka sa hagdan.,Go down the stairs.,,3,🟠,https://example.com/audio/tagalog/bumaba.mp3,./tagalog_audio/bumaba.mp3
Bumagsak,Fall,Boo-mag-sak,Bumagsak ang puno.,The tree fell.,,3,🟠,https://example.com/audio/tagalog/bumagsak.mp3,./tagalog_audio/bumagsak.mp3
Bumalik,Return,Boo-mah-lik,Bumalik ka sa bahay.,Return to the house.,,3,🟠,https://example.com/audio/tagalog/bumalik.mp3,./tagalog_audio/bumalik.mp3
Bumangon,Get up,Boo-mah-ngon,Bumangon ka na.,Get up now.,,3,🟠,https://example.com/audio/tagalog/bumangon.mp3,./tagalog_audio/bumangon.mp3
Bumili,Buy,Boo-mee-lee,Bumili ako ng tinapay.,I bought bread.,,3,🟠,https://example.com/audio/tagalog/bumili.mp3,./tagalog_audio/bumili.mp3
Bumisita,Visit,Boo-mee-see-tah,Bumisita siya kahapon.,He visited yesterday.,,3,🟠,https://example.com/audio/tagalog/bumisita.mp3,./tagalog_audio/bumisita.mp3
Bumoto,To vote,boo-mo-to,Bumoto tayo para sa kinabukasan.,Let's vote for the future.,,3,🟠,https://example.com/audio/tagalog/bumoto.mp3,./tagalog_audio/bumoto.mp3
Bumubuo,Forming,Boo-moo-boo-oh,Bumubuo kami ng plano.,We're forming a plan.,,3,🟠,https://example.com/audio/tagalog/bumubuo.mp3,./tagalog_audio/bumubuo.mp3
Bumuga,Spit,Boo-moo-gah,Bumuga siya sa sahig.,He spat on the floor.,,3,🟠,https://example.com/audio/tagalog/bumuga.mp3,./tagalog_audio/bumuga.mp3
Bundok,Mountain,bun-dok,Mataas ang bundok na iyon.,That mountain is tall.,,3,🟠,https://example.com/audio/tagalog/bundok.mp3,./tagalog_audio/bundok.mp3
Bunganga,Mouth,bu-nga-nga,Malaki ang bunganga ng leon.,The lion's mouth is big.,,3,🟠,https://example.com/audio/tagalog/bunganga.mp3,./tagalog_audio/bunganga.mp3
Bunot,Pull out,Boo-not,Bunot mo ang damo.,Pull out the grass.,,3,🟠,https://example.com/audio/tagalog/bunot.mp3,./tagalog_audio/bunot.mp3
Bunso,Youngest,Boon-soh,Bunso siya sa pamilya.,He's the youngest in the family.,,3,🟠,https://example.com/audio/tagalog/bunso.mp3,./tagalog_audio/bunso.mp3
Buntis,Pregnant,bun-tis,Buntis ang kanyang asawa.,His wife is pregnant.,,3,🟠,https://example.com/audio/tagalog/buntis.mp3,./tagalog_audio/buntis.mp3
Buntot,Tail,Boon-tot,Mahaba ang buntot ng aso.,The dog's tail is long.,,3,🟠,https://example.com/audio/tagalog/buntot.mp3,./tagalog_audio/buntot.mp3
Buo,Whole,Boo-oh,Buo pa ang plato.,The plate is still whole.,,1,🟢,https://example.com/audio/tagalog/buo.mp3,./tagalog_audio/buo.mp3
Burador,Draft,Boo-rah-dor,Nasa mesa ang burador.,The draft is on the table.,,3,🟠,https://example.com/audio/tagalog/burador.mp3,./tagalog_audio/burador.mp3
Buro,Pickled,Boo-roh,Gusto ko ng burong isda.,I like pickled fish.,,1,🟢,https://example.com/audio/tagalog/buro.mp3,./tagalog_audio/buro.mp3
Burol,Wake (funeral),Boo-rol,Nasa burol ang lolo ko.,Grandpa's wake is happening.,,3,🟠,https://example.com/audio/tagalog/burol.mp3,./tagalog_audio/burol.mp3
Bus,Bus,Boos,Sumakay ako sa bus.,I rode the bus.,1.0,1,🟢,https://example.com/audio/tagalog/bus.mp3,./tagalog_audio/bus.mp3
Busina,Horn,Boo-see-nah,Pinatunog niya ang busina.,He honked the horn.,,3,🟠,https://example.com/audio/tagalog/busina.mp3,./tagalog_audio/busina.mp3
Busog,Full (stomach),Boo-sog,Busog na ako.,I'm full now.,,3,🟠,https://example.com/audio/tagalog/busog.mp3,./tagalog_audio/busog.mp3
Butas,Hole,Boo-tas,May butas ang damit ko.,There's a hole in my clothes.,,3,🟠,https://example.com/audio/tagalog/butas.mp3,./tagalog_audio/butas.mp3
Buti,Good (luck),Boo-tee,Buti na lang nandito ka.,Good thing you're here.,,1,🟢,https://example.com/audio/tagalog/buti.mp3,./tagalog_audio/buti.mp3
Buto,Bone,Boo-toh,Malakas ang buto ko.,My bones are strong.,,1,🟢,https://example.com/audio/tagalog/buto.mp3,./tagalog_audio/buto.mp3
Butones,Button,Boo-toh-nes,Nawala ang butones ng polo ko.,The button on my shirt is missing.,,3,🟠,https://example.com/audio/tagalog/butones.mp3,./tagalog_audio/butones.mp3
Buwan,Month/Moon,boo-wan,Ilang buwan ka nang naninirahan dito?,How many months have you been living here?,1.0,3,🟠,https://example.com/audio/tagalog/buwan.mp3,./tagalog_audio/buwan.mp3
Buwis,Tax,Boo-wis,Mahal ang buwis dito.,The tax here is high.,,3,🟠,https://example.com/audio/tagalog/buwis.mp3,./tagalog_audio/buwis.mp3
Buwisita,Annoying,Boo-wee-see-tah,Buwisita ang bata.,The child is annoying.,,3,🟠,https://example.com/audio/tagalog/buwisita.mp3,./tagalog_audio/buwisita.mp3
Buyo,Chew,Boo-yoh,Nagbuyo siya ng mamâ.,He chewed betel nut.,,1,🟢,https://example.com/audio/tagalog/buyo.mp3,./tagalog_audio/buyo.mp3
Byahe,Trip (variant),Bee-yah-heh,Matagal ang byahe natin.,Our trip is long.,1.0,3,🟠,https://example.com/audio/tagalog/byahe.mp3,./tagalog_audio/byahe.mp3
Byenan,Mother-in-law,Bee-yeh-nan,Mabait ang byenan ko.,My mother-in-law is kind.,,3,🟠,https://example.com/audio/tagalog/byenan.mp3,./tagalog_audio/byenan.mp3
Caña, Sugarcane, ka-nya, May taniman sila ng caña., They have a sugarcane plantation.,,1,🟢,https://example.com/audio/tagalog/caña.mp3,./tagalog_audio/caña.mp3
Cab,Cab,Kab,Sumakay ako sa cab.,I rode a cab.,,1,🟢,https://example.com/audio/tagalog/cab.mp3,./tagalog_audio/cab.mp3
Caballo, Horse, ka-ba-lyo, Sumakay siya sa caballo., He rode a horse.,,3,🟠,https://example.com/audio/tagalog/caballo.mp3,./tagalog_audio/caballo.mp3
Cabana, Hut, ka-ba-na, Nanirahan sila sa isang cabana., They lived in a hut.,,3,🟠,https://example.com/audio/tagalog/cabana.mp3,./tagalog_audio/cabana.mp3
Caberet,Cabaret,Kah-beh-ret,Nasa caberet ang sayawan.,The dance is at the cabaret.,,3,🟠,https://example.com/audio/tagalog/caberet.mp3,./tagalog_audio/caberet.mp3
Cabin,Cabin,Ka-bin,Nasa bundok ang cabin.,The cabin is in the mountains.,,3,🟠,https://example.com/audio/tagalog/cabin.mp3,./tagalog_audio/cabin.mp3
Cabinet,Cabinet,Ka-bi-net,Nasa kusina ang cabinet.,The cabinet is in the kitchen.,,3,🟠,https://example.com/audio/tagalog/cabinet.mp3,./tagalog_audio/cabinet.mp3
Cable,Cable,Kay-bul,Nasa TV ang cable.,The cable is on the TV.,,3,🟠,https://example.com/audio/tagalog/cable.mp3,./tagalog_audio/cable.mp3
Cactus,Cactus,Kak-toos,Nasa hardin ang cactus.,The cactus is in the garden.,,3,🟠,https://example.com/audio/tagalog/cactus.mp3,./tagalog_audio/cactus.mp3
Cafeteria,Cafeteria,Kah-feh-teh-ree-yah,Kumain kami sa cafeteria.,We ate in the cafeteria.,,3,🟠,https://example.com/audio/tagalog/cafeteria.mp3,./tagalog_audio/cafeteria.mp3
Cage,Cage,Keyj,Nasa cage ang ibon.,The bird is in the cage.,,1,🟢,https://example.com/audio/tagalog/cage.mp3,./tagalog_audio/cage.mp3
Caja, Box, ka-ha, Ang caja ay puno ng gamit., The box is full of things.,,1,🟢,https://example.com/audio/tagalog/caja.mp3,./tagalog_audio/caja.mp3
Cake,Cake,Keyk,Gusto ko ng cake.,I want cake.,,1,🟢,https://example.com/audio/tagalog/cake.mp3,./tagalog_audio/cake.mp3
Calendar,Calendar,Kah-len-dar,Nasa dingding ang calendar.,The calendar is on the wall.,,3,🟠,https://example.com/audio/tagalog/calendar.mp3,./tagalog_audio/calendar.mp3
Call,Call,Kol,Tawagan mo ako.,Call me.,,1,🟢,https://example.com/audio/tagalog/call.mp3,./tagalog_audio/call.mp3
Calle,Street,ka-leh,Maraming tao sa calle tuwing piyesta. (There are many people on the street during the festival.),,1.0,3,🟠,https://example.com/audio/tagalog/calle.mp3,./tagalog_audio/calle.mp3
Callejero, Street vendor, ka-ye-he-ro, Bumili kami ng pagkain sa callejero., We bought food from the street vendor.,,3,🟠,https://example.com/audio/tagalog/callejero.mp3,./tagalog_audio/callejero.mp3
Callejon, Alley, ka-ye-hon, Makipot ang callejon sa bayan., The alley in the town is narrow.,,3,🟠,https://example.com/audio/tagalog/callejon.mp3,./tagalog_audio/callejon.mp3
Calm,Calm,Kalm,Calm ang dagat ngayon.,The sea is calm now.,,1,🟢,https://example.com/audio/tagalog/calm.mp3,./tagalog_audio/calm.mp3
Camarera, Waitress, ka-ma-re-ra, Magalang ang camarera sa restawran., The waitress is polite in the restaurant.,,2,🟡,https://example.com/audio/tagalog/camarera.mp3,./tagalog_audio/camarera.mp3
Camel,Camel,Ka-mel,Nasa disyerto ang camel.,The camel is in the desert.,,3,🟠,https://example.com/audio/tagalog/camel.mp3,./tagalog_audio/camel.mp3
Camera,Camera,Kah-meh-rah,Nawala ang camera ko.,My camera is lost.,,3,🟠,https://example.com/audio/tagalog/camera.mp3,./tagalog_audio/camera.mp3
Camp,Camp,Kamp,Nasa camp ang mga bata.,The kids are at camp.,,1,🟢,https://example.com/audio/tagalog/camp.mp3,./tagalog_audio/camp.mp3
Camping,Camping,Kam-ping,Nasa gubat kami nag-camping.,We went camping in the forest.,,3,🟠,https://example.com/audio/tagalog/camping.mp3,./tagalog_audio/camping.mp3
Can,Can,Kan,Nasa lata ang sardinas.,The sardines are in a can.,,1,🟢,https://example.com/audio/tagalog/can.mp3,./tagalog_audio/can.mp3
Cancel,Cancel,Kan-sel,Cancel mo ang plano.,Cancel the plan.,,3,🟠,https://example.com/audio/tagalog/cancel.mp3,./tagalog_audio/cancel.mp3
Cancer,Cancer,Kan-ser,May cancer ang lolo ko.,My grandpa has cancer.,,3,🟠,https://example.com/audio/tagalog/cancer.mp3,./tagalog_audio/cancer.mp3
Candle,Candle,Kan-dul,Nasa mesa ang candle.,The candle is on the table.,,3,🟠,https://example.com/audio/tagalog/candle.mp3,./tagalog_audio/candle.mp3
Candy,Candy,Kan-dee,Bumili ako ng candy.,I bought candy.,,3,🟠,https://example.com/audio/tagalog/candy.mp3,./tagalog_audio/candy.mp3
Cano,Canoe (variant),Ka-noh,Gamitin mo ang cano.,Use the canoe.,,1,🟢,https://example.com/audio/tagalog/cano.mp3,./tagalog_audio/cano.mp3
Canoe,Canoe,Kah-noo,Nasa ilog ang canoe.,The canoe is in the river.,,3,🟠,https://example.com/audio/tagalog/canoe.mp3,./tagalog_audio/canoe.mp3
Canta, Sing, kan-ta, Gusto niyang canta tuwing naliligo., She likes to sing while showering.,,3,🟠,https://example.com/audio/tagalog/canta.mp3,./tagalog_audio/canta.mp3
Canton,Canton (noodles),Kan-ton,Gusto ko ng canton.,I like canton noodles.,,3,🟠,https://example.com/audio/tagalog/canton.mp3,./tagalog_audio/canton.mp3
Cap,Cap,Kap,Suot ko ang cap.,I'm wearing a cap.,,1,🟢,https://example.com/audio/tagalog/cap.mp3,./tagalog_audio/cap.mp3
Capas, Coat, ka-pas, Suot niya ang capas dahil malamig., He is wearing a coat because it is cold.,,3,🟠,https://example.com/audio/tagalog/capas.mp3,./tagalog_audio/capas.mp3
Cape,Cape,Keyp,Maganda ang cape niya.,Her cape is beautiful.,,1,🟢,https://example.com/audio/tagalog/cape.mp3,./tagalog_audio/cape.mp3
Capital,Capital,Kah-pee-tal,Manila ang capital natin.,Manila is our capital.,,3,🟠,https://example.com/audio/tagalog/capital.mp3,./tagalog_audio/capital.mp3
Captain,Captain,Kap-tayn,Captain ang tatay ko.,My dad is a captain.,,3,🟠,https://example.com/audio/tagalog/captain.mp3,./tagalog_audio/captain.mp3
Capture,Capture,Kap-tyur,Capture mo ang larawan.,Capture the picture.,,3,🟠,https://example.com/audio/tagalog/capture.mp3,./tagalog_audio/capture.mp3
Car,Car,Kar,Nasa garahe ang car.,The car is in the garage.,,1,🟢,https://example.com/audio/tagalog/car.mp3,./tagalog_audio/car.mp3
Carbon,Carbon,Kar-bon,Gamit nila ang carbon.,They use carbon.,,3,🟠,https://example.com/audio/tagalog/carbon.mp3,./tagalog_audio/carbon.mp3
Card,Card,Kard,Bigay mo ang card ko.,Give me my card.,,1,🟢,https://example.com/audio/tagalog/card.mp3,./tagalog_audio/card.mp3
Cardboard,Cardboard,Kard-bord,Gawa sa cardboard ang kahon.,The box is made of cardboard.,,3,🟠,https://example.com/audio/tagalog/cardboard.mp3,./tagalog_audio/cardboard.mp3
Care,Care,Ker,Care mo ang bata.,Care for the child.,,1,🟢,https://example.com/audio/tagalog/care.mp3,./tagalog_audio/care.mp3
Carne, Meat, kar-ne, Bumili siya ng carne sa palengke., He bought meat at the market.,,3,🟠,https://example.com/audio/tagalog/carne.mp3,./tagalog_audio/carne.mp3
Carnival,Carnival,Kar-ni-val,Nasa bayan ang carnival.,The carnival is in town.,,3,🟠,https://example.com/audio/tagalog/carnival.mp3,./tagalog_audio/carnival.mp3
Carpenter,Carpenter,Kar-pen-ter,Carpenter ang tito ko.,My uncle is a carpenter.,,3,🟠,https://example.com/audio/tagalog/carpenter.mp3,./tagalog_audio/carpenter.mp3
Carpet,Carpet,Kar-pet,Nasa sahig ang carpet.,The carpet is on the floor.,,3,🟠,https://example.com/audio/tagalog/carpet.mp3,./tagalog_audio/carpet.mp3
Carrot,Carrot,Ka-rot,Kumain ako ng carrot.,I ate a carrot.,,3,🟠,https://example.com/audio/tagalog/carrot.mp3,./tagalog_audio/carrot.mp3
Carry,Carry,Ka-ree,Carry mo ang bag.,Carry the bag.,,3,🟠,https://example.com/audio/tagalog/carry.mp3,./tagalog_audio/carry.mp3
Cart,Cart,Kart,Nasa palengke ang cart.,The cart is in the market.,,1,🟢,https://example.com/audio/tagalog/cart.mp3,./tagalog_audio/cart.mp3
Cartolina,Cartolina (paper),Kar-toh-lee-nah,Gumawa ako ng cartolina.,I made a cartolina project.,,3,🟠,https://example.com/audio/tagalog/cartolina.mp3,./tagalog_audio/cartolina.mp3
Case,Case,Keys,Nasa abogado ang case ko.,My case is with the lawyer.,,1,🟢,https://example.com/audio/tagalog/case.mp3,./tagalog_audio/case.mp3
Cash,Cash,Kash,Nasa bulsa ang cash ko.,My cash is in my pocket.,,1,🟢,https://example.com/audio/tagalog/cash.mp3,./tagalog_audio/cash.mp3
Cashier,Cashier,Ka-sheer,Nasa tindahan ang cashier.,The cashier is in the store.,,3,🟠,https://example.com/audio/tagalog/cashier.mp3,./tagalog_audio/cashier.mp3
Casino,Casino,Kah-see-noh,Nasa casino ang tito ko.,My uncle is at the casino.,,3,🟠,https://example.com/audio/tagalog/casino.mp3,./tagalog_audio/casino.mp3
Cast,Cast,Kast,Cast mo ang boto.,Cast your vote.,,1,🟢,https://example.com/audio/tagalog/cast.mp3,./tagalog_audio/cast.mp3
Castaño, Brown, kas-ta-nyo, Castaño ang buhok niya., Her hair is brown.,,3,🟠,https://example.com/audio/tagalog/castaño.mp3,./tagalog_audio/castaño.mp3
Castle,Castle,Kas-tul,Nasa bundok ang castle.,The castle is in the mountains.,,3,🟠,https://example.com/audio/tagalog/castle.mp3,./tagalog_audio/castle.mp3
Cat,Cat,Kat,Nasa bubong ang cat.,The cat is on the roof.,,1,🟢,https://example.com/audio/tagalog/cat.mp3,./tagalog_audio/cat.mp3
Catalog,Catalog,Ka-ta-log,Nasa opisina ang catalog.,The catalog is in the office.,,3,🟠,https://example.com/audio/tagalog/catalog.mp3,./tagalog_audio/catalog.mp3
Catch,Catch,Ketch,Sinalo ko ang catch.,I caught the ball.,,3,🟠,https://example.com/audio/tagalog/catch.mp3,./tagalog_audio/catch.mp3
Category,Category,Ka-te-go-ree,Ano ang category nito?,What's the category of this?,,3,🟠,https://example.com/audio/tagalog/category.mp3,./tagalog_audio/category.mp3
Cater,Cater,Kay-ter,Nag-cater sila sa party.,They catered the party.,,3,🟠,https://example.com/audio/tagalog/cater.mp3,./tagalog_audio/cater.mp3
Catholic,Catholic,Kah-toh-lik,Catholic ang nanay ko.,My mom is Catholic.,,3,🟠,https://example.com/audio/tagalog/catholic.mp3,./tagalog_audio/catholic.mp3
Cebolla, Onion, se-bo-lya, Gamit ang cebolla sa pagluluto., Onion is used in cooking.,,3,🟠,https://example.com/audio/tagalog/cebolla.mp3,./tagalog_audio/cebolla.mp3
Ceiling,Ceiling,See-ling,Mataas ang ceiling natin.,Our ceiling is high.,,3,🟠,https://example.com/audio/tagalog/ceiling.mp3,./tagalog_audio/ceiling.mp3
Cellphone,Cellphone,Sel-pon,Nasa mesa ang cellphone ko.,My cellphone is on the table.,,3,🟠,https://example.com/audio/tagalog/cellphone.mp3,./tagalog_audio/cellphone.mp3
Cement,Cement,Seh-ment,Gawa sa cement ang bahay.,The house is made of cement.,,3,🟠,https://example.com/audio/tagalog/cement.mp3,./tagalog_audio/cement.mp3
Cemento, Cement, se-men-to, Matibay ang pader na gawa sa cemento., The wall made of cement is strong.,,3,🟠,https://example.com/audio/tagalog/cemento.mp3,./tagalog_audio/cemento.mp3
Center,Center,Sen-ter,Nasa center ang tindahan.,The store is in the center.,,3,🟠,https://example.com/audio/tagalog/center.mp3,./tagalog_audio/center.mp3
Central,Central,Sen-tral,Nasa central ang opisina.,The office is in the central area.,,3,🟠,https://example.com/audio/tagalog/central.mp3,./tagalog_audio/central.mp3
Cereal,Cereal,Seh-ree-yal,Kumain ako ng cereal.,I ate cereal.,,3,🟠,https://example.com/audio/tagalog/cereal.mp3,./tagalog_audio/cereal.mp3
Ceremony,Ceremony,Seh-reh-mo-nee,Nasa simbahan ang ceremony.,The ceremony is in the church.,,3,🟠,https://example.com/audio/tagalog/ceremony.mp3,./tagalog_audio/ceremony.mp3
Chain,Chain,Cheyn,Nasa leeg ko ang chain.,The chain is on my neck.,,3,🟠,https://example.com/audio/tagalog/chain.mp3,./tagalog_audio/chain.mp3
Chair,Chair,Cheyr,Nasa sala ang chair.,The chair is in the living room.,,3,🟠,https://example.com/audio/tagalog/chair.mp3,./tagalog_audio/chair.mp3
Chalk,Chalk,Chok,Gumamit ako ng chalk.,I used chalk.,,3,🟠,https://example.com/audio/tagalog/chalk.mp3,./tagalog_audio/chalk.mp3
Champion,Champion,Cham-pee-yon,Champion siya sa laro.,He's the champion of the game.,,3,🟠,https://example.com/audio/tagalog/champion.mp3,./tagalog_audio/champion.mp3
Chance,Chance,Chans,Bigyan mo ako ng chance.,Give me a chance.,,3,🟠,https://example.com/audio/tagalog/chance.mp3,./tagalog_audio/chance.mp3
Change,Change,Cheynj,Change mo ang pera.,Change the money.,,3,🟠,https://example.com/audio/tagalog/change.mp3,./tagalog_audio/change.mp3
Channel,Channel,Chan-nel,Nasa TV ang channel ko.,My channel is on the TV.,,3,🟠,https://example.com/audio/tagalog/channel.mp3,./tagalog_audio/channel.mp3
Chapel,Chapel,Cha-pel,Nasa chapel ang kasal.,The wedding is in the chapel.,,3,🟠,https://example.com/audio/tagalog/chapel.mp3,./tagalog_audio/chapel.mp3
Chapter,Chapter,Chap-ter,Basahin mo ang chapter.,Read the chapter.,,3,🟠,https://example.com/audio/tagalog/chapter.mp3,./tagalog_audio/chapter.mp3
Charge,Charge,Charj,Charge mo ang phone ko.,Charge my phone.,,3,🟠,https://example.com/audio/tagalog/charge.mp3,./tagalog_audio/charge.mp3
Chat,Chat,Chat,Nag-chat kami kahapon.,We chatted yesterday.,,1,🟢,https://example.com/audio/tagalog/chat.mp3,./tagalog_audio/chat.mp3
Check,Check,Chek,Check mo ang papel.,Check the paper.,,3,🟠,https://example.com/audio/tagalog/check.mp3,./tagalog_audio/check.mp3
Chef,Chef,Shef,Chef ang ate ko.,My sister is a chef.,,1,🟢,https://example.com/audio/tagalog/chef.mp3,./tagalog_audio/chef.mp3
Chemical,Chemical,Ke-mi-kal,Nasa lab ang chemical.,The chemical is in the lab.,,3,🟠,https://example.com/audio/tagalog/chemical.mp3,./tagalog_audio/chemical.mp3
Chess,Chess,Ches,Naglaro kami ng chess.,We played chess.,,3,🟠,https://example.com/audio/tagalog/chess.mp3,./tagalog_audio/chess.mp3
Chest,Chest,Chest,Masakit ang chest ko.,My chest hurts.,,3,🟠,https://example.com/audio/tagalog/chest.mp3,./tagalog_audio/chest.mp3
Chicken,Chicken,Chi-ken,Kumain ako ng chicken.,I ate chicken.,,3,🟠,https://example.com/audio/tagalog/chicken.mp3,./tagalog_audio/chicken.mp3
Chief,Chief,Cheef,Chief ang tatay ko.,My dad is the chief.,,3,🟠,https://example.com/audio/tagalog/chief.mp3,./tagalog_audio/chief.mp3
Child,Child,Chayld,Nasa park ang child.,The child is in the park.,,3,🟠,https://example.com/audio/tagalog/child.mp3,./tagalog_audio/child.mp3
Chinelas,Slippers,Chee-neh-las,Nasa paanan ang chinelas.,The slippers are at my feet.,,3,🟠,https://example.com/audio/tagalog/chinelas.mp3,./tagalog_audio/chinelas.mp3
Chip,Chip,Chip,Bumili ako ng chip.,I bought a chip.,,1,🟢,https://example.com/audio/tagalog/chip.mp3,./tagalog_audio/chip.mp3
Chips,Chips,Chips,Gusto ko ng chips.,I want chips.,,3,🟠,https://example.com/audio/tagalog/chips.mp3,./tagalog_audio/chips.mp3
Chocolate,Chocolate,Cho-ko-let,Nasa ref ang chocolate.,The chocolate is in the fridge.,,3,🟠,https://example.com/audio/tagalog/chocolate.mp3,./tagalog_audio/chocolate.mp3
Choice,Choice,Choys,Ano ang choice mo?,What's your choice?,,3,🟠,https://example.com/audio/tagalog/choice.mp3,./tagalog_audio/choice.mp3
Chop,Chop,Chop,Chop mo ang kahoy.,Chop the wood.,,1,🟢,https://example.com/audio/tagalog/chop.mp3,./tagalog_audio/chop.mp3
Chorus,Chorus,Ko-rus,Nasa chorus siya ng kanta.,He's in the chorus of the song.,,3,🟠,https://example.com/audio/tagalog/chorus.mp3,./tagalog_audio/chorus.mp3
Christ,Christ,Krayst,Nasa krus si Christ.,Christ is on the cross.,,3,🟠,https://example.com/audio/tagalog/christ.mp3,./tagalog_audio/christ.mp3
Christmas,Christmas,Kris-mas,Maligaya ang Christmas natin.,Our Christmas is joyful.,,3,🟠,https://example.com/audio/tagalog/christmas.mp3,./tagalog_audio/christmas.mp3
Church,Church,Church,Nasa church ang misa.,The mass is in the church.,,3,🟠,https://example.com/audio/tagalog/church.mp3,./tagalog_audio/church.mp3
Cicatriz, Scar, si-ka-tris, May cicatriz siya sa noo., He has a scar on his forehead.,,3,🟠,https://example.com/audio/tagalog/cicatriz.mp3,./tagalog_audio/cicatriz.mp3
Cigar,Cigar,See-gar,Nasa mesa ang cigar.,The cigar is on the table.,,3,🟠,https://example.com/audio/tagalog/cigar.mp3,./tagalog_audio/cigar.mp3
Cigarette,Cigarette,See-ga-ret,Bumili ako ng cigarette.,I bought a cigarette.,,3,🟠,https://example.com/audio/tagalog/cigarette.mp3,./tagalog_audio/cigarette.mp3
Cinema,Cinema,See-neh-mah,Nasa cinema kami kahapon.,We were at the cinema yesterday.,,3,🟠,https://example.com/audio/tagalog/cinema.mp3,./tagalog_audio/cinema.mp3
Cinturon, Belt, sin-tu-ron, Mahal ang bagong cinturon., The new belt is expensive.,,3,🟠,https://example.com/audio/tagalog/cinturon.mp3,./tagalog_audio/cinturon.mp3
Circle,Circle,Sir-kul,Bilog ang circle sa papel.,The circle on the paper is round.,,3,🟠,https://example.com/audio/tagalog/circle.mp3,./tagalog_audio/circle.mp3
Circus,Circus,Sir-kus,Nasa bayan ang circus.,The circus is in town.,,3,🟠,https://example.com/audio/tagalog/circus.mp3,./tagalog_audio/circus.mp3
City,City,See-tee,Nasa city ang trabaho ko.,My job is in the city.,,1,🟢,https://example.com/audio/tagalog/city.mp3,./tagalog_audio/city.mp3
Civil,Civil,See-vil,Civil ang kasal nila.,Their wedding is civil.,,3,🟠,https://example.com/audio/tagalog/civil.mp3,./tagalog_audio/civil.mp3
Class,Class,Klas,Nasa class ang guro.,The teacher is in class.,,3,🟠,https://example.com/audio/tagalog/class.mp3,./tagalog_audio/class.mp3
Classic,Classic,Kla-sik,Classic ang kotse niya.,His car is classic.,,3,🟠,https://example.com/audio/tagalog/classic.mp3,./tagalog_audio/classic.mp3
Clean,Clean,Kleen,Linisin mo ang clean na mesa.,Clean the clean table.,,3,🟠,https://example.com/audio/tagalog/clean.mp3,./tagalog_audio/clean.mp3
Clear,Clear,Kleer,Clear ang tubig sa baso.,The water in the glass is clear.,,3,🟠,https://example.com/audio/tagalog/clear.mp3,./tagalog_audio/clear.mp3
Clerk,Clerk,Klark,Nasa tindahan ang clerk.,The clerk is in the store.,,3,🟠,https://example.com/audio/tagalog/clerk.mp3,./tagalog_audio/clerk.mp3
Client,Client,Klay-yent,Marami ang client niya.,He has many clients.,,3,🟠,https://example.com/audio/tagalog/client.mp3,./tagalog_audio/client.mp3
Clinic,Clinic,Kli-nik,Nasa clinic ang doktor.,The doctor is in the clinic.,,3,🟠,https://example.com/audio/tagalog/clinic.mp3,./tagalog_audio/clinic.mp3
Clip,Clip,Klip,Ilagay mo ang clip sa papel.,Put the clip on the paper.,,1,🟢,https://example.com/audio/tagalog/clip.mp3,./tagalog_audio/clip.mp3
Clock,Clock,Klok,Nasa dingding ang clock.,The clock is on the wall.,,3,🟠,https://example.com/audio/tagalog/clock.mp3,./tagalog_audio/clock.mp3
Close,Close,Klos,Close mo ang pinto.,Close the door.,,3,🟠,https://example.com/audio/tagalog/close.mp3,./tagalog_audio/close.mp3
Closet,Closet,Klo-set,Nasa closet ang damit ko.,My clothes are in the closet.,,3,🟠,https://example.com/audio/tagalog/closet.mp3,./tagalog_audio/closet.mp3
Cloth,Cloth,Kloth,Gamitin mo ang cloth.,Use the cloth.,,3,🟠,https://example.com/audio/tagalog/cloth.mp3,./tagalog_audio/cloth.mp3
Club,Club,Klab,Nasa club ang party.,The party is in the club.,,1,🟢,https://example.com/audio/tagalog/club.mp3,./tagalog_audio/club.mp3
Coach,Coach,Koch,Coach ang tito ko.,My uncle is a coach.,,3,🟠,https://example.com/audio/tagalog/coach.mp3,./tagalog_audio/coach.mp3
