Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival,Difficulty Level
Bumangon,Get up,Boo-mah-ngon,Bumangon ka na.,Get up now.,,3
Bumili,Buy,Boo-mee-lee,Bumili ako ng tinapay.,I bought bread.,,3
Bumisita,Visit,Boo-mee-see-tah,Bumisita siya kahapon.,He visited yesterday.,,3
Bumoto,To vote,boo-mo-to,Bumoto tayo para sa kinabukasan.,Let's vote for the future.,,3
Bumubuo,Forming,Boo-moo-boo-oh,Bumubuo kami ng plano.,We're forming a plan.,,3
Bumuga,Spit,Boo-moo-gah,Bumuga siya sa sahig.,He spat on the floor.,,3
Bundok,Mountain,bun-dok,Mataas ang bundok na iyon.,That mountain is tall.,,3
Bunganga,Mouth,bu-nga-nga,Malaki ang bunganga ng leon.,The lion's mouth is big.,,3
Bunot,Pull out,Boo-not,Bunot mo ang damo.,Pull out the grass.,,3
Bunso,Youngest,Boon-soh,Bunso siya sa pamilya.,He's the youngest in the family.,,3
Buntis,Pregnant,bun-tis,Buntis ang kanyang asawa.,His wife is pregnant.,,3
Buntot,Tail,Boon-tot,Mahaba ang buntot ng aso.,The dog's tail is long.,,3
Buo,Whole,Boo-oh,Buo pa ang plato.,The plate is still whole.,,1
Burador,Draft,Boo-rah-dor,Nasa mesa ang burador.,The draft is on the table.,,3
Buro,Pickled,Boo-roh,Gusto ko ng burong isda.,I like pickled fish.,,1
Burol,Wake (funeral),Boo-rol,Nasa burol ang lolo ko.,Grandpa's wake is happening.,,3
Bus,Bus,Boos,Sumakay ako sa bus.,I rode the bus.,1.0,1
Busina,Horn,Boo-see-nah,Pinatunog niya ang busina.,He honked the horn.,,3
Busog,Full (stomach),Boo-sog,Busog na ako.,I'm full now.,,3
Butas,Hole,Boo-tas,May butas ang damit ko.,There's a hole in my clothes.,,3
Buti,Good (luck),Boo-tee,Buti na lang nandito ka.,Good thing you're here.,,1
Buto,Bone,Boo-toh,Malakas ang buto ko.,My bones are strong.,,1
Butones,Button,Boo-toh-nes,Nawala ang butones ng polo ko.,The button on my shirt is missing.,,3
Buwan,Month/Moon,boo-wan,Ilang buwan ka nang naninirahan dito?,How many months have you been living here?,1.0,3
Buwis,Tax,Boo-wis,Mahal ang buwis dito.,The tax here is high.,,3
Buwisita,Annoying,Boo-wee-see-tah,Buwisita ang bata.,The child is annoying.,,3
Buyo,Chew,Boo-yoh,Nagbuyo siya ng mamâ.,He chewed betel nut.,,1
Byahe,Trip (variant),Bee-yah-heh,Matagal ang byahe natin.,Our trip is long.,1.0,3
Byenan,Mother-in-law,Bee-yeh-nan,Mabait ang byenan ko.,My mother-in-law is kind.,,3
Caña, Sugarcane, ka-nya, May taniman sila ng caña., They have a sugarcane plantation.,,1
Cab,Cab,Kab,Sumakay ako sa cab.,I rode a cab.,,1
Caballo, Horse, ka-ba-lyo, Sumakay siya sa caballo., He rode a horse.,,3
Cabana, Hut, ka-ba-na, Nanirahan sila sa isang cabana., They lived in a hut.,,3
Caberet,Cabaret,Kah-beh-ret,Nasa caberet ang sayawan.,The dance is at the cabaret.,,3
Cabin,Cabin,Ka-bin,Nasa bundok ang cabin.,The cabin is in the mountains.,,3
Cabinet,Cabinet,Ka-bi-net,Nasa kusina ang cabinet.,The cabinet is in the kitchen.,,3
Cable,Cable,Kay-bul,Nasa TV ang cable.,The cable is on the TV.,,3
Cactus,Cactus,Kak-toos,Nasa hardin ang cactus.,The cactus is in the garden.,,3
Cafeteria,Cafeteria,Kah-feh-teh-ree-yah,Kumain kami sa cafeteria.,We ate in the cafeteria.,,3
Cage,Cage,Keyj,Nasa cage ang ibon.,The bird is in the cage.,,1
Caja, Box, ka-ha, Ang caja ay puno ng gamit., The box is full of things.,,1
Cake,Cake,Keyk,Gusto ko ng cake.,I want cake.,,1
Calendar,Calendar,Kah-len-dar,Nasa dingding ang calendar.,The calendar is on the wall.,,3
Call,Call,Kol,Tawagan mo ako.,Call me.,,1
Calle,Street,ka-leh,Maraming tao sa calle tuwing piyesta. (There are many people on the street during the festival.),,1.0,3
Callejero, Street vendor, ka-ye-he-ro, Bumili kami ng pagkain sa callejero., We bought food from the street vendor.,,3
Callejon, Alley, ka-ye-hon, Makipot ang callejon sa bayan., The alley in the town is narrow.,,3
Calm,Calm,Kalm,Calm ang dagat ngayon.,The sea is calm now.,,1
Camarera, Waitress, ka-ma-re-ra, Magalang ang camarera sa restawran., The waitress is polite in the restaurant.,,2
Camel,Camel,Ka-mel,Nasa disyerto ang camel.,The camel is in the desert.,,3
Camera,Camera,Kah-meh-rah,Nawala ang camera ko.,My camera is lost.,,3
Camp,Camp,Kamp,Nasa camp ang mga bata.,The kids are at camp.,,1
Camping,Camping,Kam-ping,Nasa gubat kami nag-camping.,We went camping in the forest.,,3
Can,Can,Kan,Nasa lata ang sardinas.,The sardines are in a can.,,1
Cancel,Cancel,Kan-sel,Cancel mo ang plano.,Cancel the plan.,,3
Cancer,Cancer,Kan-ser,May cancer ang lolo ko.,My grandpa has cancer.,,3
Candle,Candle,Kan-dul,Nasa mesa ang candle.,The candle is on the table.,,3
Candy,Candy,Kan-dee,Bumili ako ng candy.,I bought candy.,,3
Cano,Canoe (variant),Ka-noh,Gamitin mo ang cano.,Use the canoe.,,1
Canoe,Canoe,Kah-noo,Nasa ilog ang canoe.,The canoe is in the river.,,3
Canta, Sing, kan-ta, Gusto niyang canta tuwing naliligo., She likes to sing while showering.,,3
Canton,Canton (noodles),Kan-ton,Gusto ko ng canton.,I like canton noodles.,,3
Cap,Cap,Kap,Suot ko ang cap.,I'm wearing a cap.,,1
Capas, Coat, ka-pas, Suot niya ang capas dahil malamig., He is wearing a coat because it is cold.,,3
Cape,Cape,Keyp,Maganda ang cape niya.,Her cape is beautiful.,,1
Capital,Capital,Kah-pee-tal,Manila ang capital natin.,Manila is our capital.,,3
Captain,Captain,Kap-tayn,Captain ang tatay ko.,My dad is a captain.,,3
Capture,Capture,Kap-tyur,Capture mo ang larawan.,Capture the picture.,,3
Car,Car,Kar,Nasa garahe ang car.,The car is in the garage.,,1
Carbon,Carbon,Kar-bon,Gamit nila ang carbon.,They use carbon.,,3
Card,Card,Kard,Bigay mo ang card ko.,Give me my card.,,1
Cardboard,Cardboard,Kard-bord,Gawa sa cardboard ang kahon.,The box is made of cardboard.,,3
Care,Care,Ker,Care mo ang bata.,Care for the child.,,1
Carne, Meat, kar-ne, Bumili siya ng carne sa palengke., He bought meat at the market.,,3
Carnival,Carnival,Kar-ni-val,Nasa bayan ang carnival.,The carnival is in town.,,3
Carpenter,Carpenter,Kar-pen-ter,Carpenter ang tito ko.,My uncle is a carpenter.,,3
Carpet,Carpet,Kar-pet,Nasa sahig ang carpet.,The carpet is on the floor.,,3
Carrot,Carrot,Ka-rot,Kumain ako ng carrot.,I ate a carrot.,,3
Carry,Carry,Ka-ree,Carry mo ang bag.,Carry the bag.,,3
Cart,Cart,Kart,Nasa palengke ang cart.,The cart is in the market.,,1
Cartolina,Cartolina (paper),Kar-toh-lee-nah,Gumawa ako ng cartolina.,I made a cartolina project.,,3
Case,Case,Keys,Nasa abogado ang case ko.,My case is with the lawyer.,,1
Cash,Cash,Kash,Nasa bulsa ang cash ko.,My cash is in my pocket.,,1
Cashier,Cashier,Ka-sheer,Nasa tindahan ang cashier.,The cashier is in the store.,,3
Casino,Casino,Kah-see-noh,Nasa casino ang tito ko.,My uncle is at the casino.,,3
Cast,Cast,Kast,Cast mo ang boto.,Cast your vote.,,1
Castaño, Brown, kas-ta-nyo, Castaño ang buhok niya., Her hair is brown.,,3
Castle,Castle,Kas-tul,Nasa bundok ang castle.,The castle is in the mountains.,,3
Cat,Cat,Kat,Nasa bubong ang cat.,The cat is on the roof.,,1
Catalog,Catalog,Ka-ta-log,Nasa opisina ang catalog.,The catalog is in the office.,,3
Catch,Catch,Ketch,Sinalo ko ang catch.,I caught the ball.,,3
Category,Category,Ka-te-go-ree,Ano ang category nito?,What's the category of this?,,3
Cater,Cater,Kay-ter,Nag-cater sila sa party.,They catered the party.,,3
Catholic,Catholic,Kah-toh-lik,Catholic ang nanay ko.,My mom is Catholic.,,3
Cebolla, Onion, se-bo-lya, Gamit ang cebolla sa pagluluto., Onion is used in cooking.,,3
Ceiling,Ceiling,See-ling,Mataas ang ceiling natin.,Our ceiling is high.,,3
Cellphone,Cellphone,Sel-pon,Nasa mesa ang cellphone ko.,My cellphone is on the table.,,3
Cement,Cement,Seh-ment,Gawa sa cement ang bahay.,The house is made of cement.,,3
Cemento, Cement, se-men-to, Matibay ang pader na gawa sa cemento., The wall made of cement is strong.,,3
Center,Center,Sen-ter,Nasa center ang tindahan.,The store is in the center.,,3
Central,Central,Sen-tral,Nasa central ang opisina.,The office is in the central area.,,3
Cereal,Cereal,Seh-ree-yal,Kumain ako ng cereal.,I ate cereal.,,3
Ceremony,Ceremony,Seh-reh-mo-nee,Nasa simbahan ang ceremony.,The ceremony is in the church.,,3
Chain,Chain,Cheyn,Nasa leeg ko ang chain.,The chain is on my neck.,,3
Chair,Chair,Cheyr,Nasa sala ang chair.,The chair is in the living room.,,3
Chalk,Chalk,Chok,Gumamit ako ng chalk.,I used chalk.,,3
Champion,Champion,Cham-pee-yon,Champion siya sa laro.,He's the champion of the game.,,3
Chance,Chance,Chans,Bigyan mo ako ng chance.,Give me a chance.,,3
Change,Change,Cheynj,Change mo ang pera.,Change the money.,,3
Channel,Channel,Chan-nel,Nasa TV ang channel ko.,My channel is on the TV.,,3
Chapel,Chapel,Cha-pel,Nasa chapel ang kasal.,The wedding is in the chapel.,,3
Chapter,Chapter,Chap-ter,Basahin mo ang chapter.,Read the chapter.,,3
Charge,Charge,Charj,Charge mo ang phone ko.,Charge my phone.,,3
Chat,Chat,Chat,Nag-chat kami kahapon.,We chatted yesterday.,,1
Check,Check,Chek,Check mo ang papel.,Check the paper.,,3
Chef,Chef,Shef,Chef ang ate ko.,My sister is a chef.,,1
Chemical,Chemical,Ke-mi-kal,Nasa lab ang chemical.,The chemical is in the lab.,,3
Chess,Chess,Ches,Naglaro kami ng chess.,We played chess.,,3
Chest,Chest,Chest,Masakit ang chest ko.,My chest hurts.,,3
Chicken,Chicken,Chi-ken,Kumain ako ng chicken.,I ate chicken.,,3
Chief,Chief,Cheef,Chief ang tatay ko.,My dad is the chief.,,3
Child,Child,Chayld,Nasa park ang child.,The child is in the park.,,3
Chinelas,Slippers,Chee-neh-las,Nasa paanan ang chinelas.,The slippers are at my feet.,,3
Chip,Chip,Chip,Bumili ako ng chip.,I bought a chip.,,1
Chips,Chips,Chips,Gusto ko ng chips.,I want chips.,,3
Chocolate,Chocolate,Cho-ko-let,Nasa ref ang chocolate.,The chocolate is in the fridge.,,3
Choice,Choice,Choys,Ano ang choice mo?,What's your choice?,,3
Chop,Chop,Chop,Chop mo ang kahoy.,Chop the wood.,,1
Chorus,Chorus,Ko-rus,Nasa chorus siya ng kanta.,He's in the chorus of the song.,,3
Christ,Christ,Krayst,Nasa krus si Christ.,Christ is on the cross.,,3
Christmas,Christmas,Kris-mas,Maligaya ang Christmas natin.,Our Christmas is joyful.,,3
Church,Church,Church,Nasa church ang misa.,The mass is in the church.,,3
Cicatriz, Scar, si-ka-tris, May cicatriz siya sa noo., He has a scar on his forehead.,,3
Cigar,Cigar,See-gar,Nasa mesa ang cigar.,The cigar is on the table.,,3
Cigarette,Cigarette,See-ga-ret,Bumili ako ng cigarette.,I bought a cigarette.,,3
Cinema,Cinema,See-neh-mah,Nasa cinema kami kahapon.,We were at the cinema yesterday.,,3
Cinturon, Belt, sin-tu-ron, Mahal ang bagong cinturon., The new belt is expensive.,,3
Circle,Circle,Sir-kul,Bilog ang circle sa papel.,The circle on the paper is round.,,3
Circus,Circus,Sir-kus,Nasa bayan ang circus.,The circus is in town.,,3
City,City,See-tee,Nasa city ang trabaho ko.,My job is in the city.,,1
Civil,Civil,See-vil,Civil ang kasal nila.,Their wedding is civil.,,3
Class,Class,Klas,Nasa class ang guro.,The teacher is in class.,,3
Classic,Classic,Kla-sik,Classic ang kotse niya.,His car is classic.,,3
Clean,Clean,Kleen,Linisin mo ang clean na mesa.,Clean the clean table.,,3
Clear,Clear,Kleer,Clear ang tubig sa baso.,The water in the glass is clear.,,3
Clerk,Clerk,Klark,Nasa tindahan ang clerk.,The clerk is in the store.,,3
Client,Client,Klay-yent,Marami ang client niya.,He has many clients.,,3
Clinic,Clinic,Kli-nik,Nasa clinic ang doktor.,The doctor is in the clinic.,,3
Clip,Clip,Klip,Ilagay mo ang clip sa papel.,Put the clip on the paper.,,1
Clock,Clock,Klok,Nasa dingding ang clock.,The clock is on the wall.,,3
Close,Close,Klos,Close mo ang pinto.,Close the door.,,3
Closet,Closet,Klo-set,Nasa closet ang damit ko.,My clothes are in the closet.,,3
Cloth,Cloth,Kloth,Gamitin mo ang cloth.,Use the cloth.,,3
Club,Club,Klab,Nasa club ang party.,The party is in the club.,,1
Coach,Coach,Koch,Coach ang tito ko.,My uncle is a coach.,,3
Coal,Coal,Kohl,Nasa kusina ang coal.,The coal is in the kitchen.,,1
Coat,Coat,Kot,Suot ko ang coat.,I'm wearing the coat.,,1
Coche, Car, koh-che, Bumili siya ng bagong coche., He bought a new car.,,3
Cocktail,Cocktail,Kok-teyl,Gusto ko ng cocktail.,I want a cocktail.,,3
Coco, Coconut, ko-ko, Gamit ang coco sa pagluluto., Coconut is used in cooking.,,1
Coconut,Coconut,Ko-ko-nat,Nasa puno ang coconut.,The coconut is in the tree.,,3
Code,Code,Kod,Ano ang code ng lock?,What's the code of the lock?,,1
Coffee,Coffee,Ko-pee,Uminom ako ng coffee.,I drank coffee.,,3
Coin,Coin,Koyn,Nasa bulsa ang coin ko.,The coin is in my pocket.,,1
Cold,Cold,Kold,Malamig ang cold water.,The cold water is cold.,,1
Colgate,Colgate (toothpaste),Kol-geyt,Gamit ko ang Colgate.,I use Colgate.,,3
College,College,Ko-ledj,Nasa college ang ate ko.,My sister is in college.,,3
Color,Color,Ku-lor,Ano ang color ng bag?,What's the color of the bag?,,3
Column,Column,Ko-lum,Nasa dyaryo ang column.,The column is in the newspaper.,,3
Comb,Comb,Kohm,Gamitin mo ang comb.,Use the comb.,,1
Comedy,Comedy,Ko-me-dee,Nakakatawa ang comedy.,The comedy is funny.,,3
Comfort,Comfort,Kum-fort,Comfort ang upuan.,The chair is comfortable.,,3
Comic,Comic,Ko-mik,Bumili ako ng comic.,I bought a comic.,,3
Comida, Food, ko-mee-da, Masarap ang comida sa bahay nila., The food in their house is delicious.,,2
Company,Company,Kum-pa-nee,Nasa company ang nanay ko.,My mom is at the company.,,3
Complete,Complete,Kom-pleet,Complete na ang trabaho.,The work is complete.,,3
Computer,Computer,Kom-pyu-ter,Nasa kwarto ang computer.,The computer is in the room.,,3
Concert,Concert,Kon-sert,Nasa concert kami bukas.,We'll be at the concert tomorrow.,,3
Condensed,Condensed,Kon-densd,Gusto ko ng condensed milk.,I want condensed milk.,,3
Condition,Condition,Kon-di-shon,Ano ang condition ng kotse?,What's the condition of the car?,,3
Contest,Contest,Kon-test,Sali ako sa contest.,I'll join the contest.,,3
Contract,Contract,Kon-trakt,Pirmahan mo ang contract.,Sign the contract.,,3
Control,Control,Kon-trol,Control mo ang TV.,Control the TV.,,3
Cook,Cook,Kuk,Kumain kami ng cook na pagkain.,We ate cooked food.,,1
Cool,Cool,Kool,Cool ang hangin ngayon.,The air is cool now.,,1
Copy,Copy,Ko-pee,Copy mo ang sagot.,Copy the answer.,,1
Cord,Cord,Kord,Nasa mesa ang cord.,The cord is on the table.,,1
Cork,Cork,Kork,Gamitin mo ang cork.,Use the cork.,,1
Corn,Corn,Korn,Kumain ako ng corn.,I ate corn.,,1
Corner,Corner,Kor-ner,Nasa corner ang upuan.,The chair is in the corner.,,3
Coro, Choir, ko-ro, Sumali siya sa coro sa simbahan., He joined the church choir.,,1
Corte, Cut, kor-te, Maganda ang corte ng damit niya., The cut of her dress is beautiful.,,3
Cost,Cost,Kost,Magkano ang cost?,How much is the cost?,,1
Costume,Costume,Kos-tyum,Suot ko ang costume.,I'm wearing the costume.,,3
Cottage,Cottage,Ko-tidj,Nasa bukid ang cottage.,The cottage is in the field.,,3
Cotton,Cotton,Ko-ton,Gawa sa cotton ang damit.,The clothes are made of cotton.,,3
Couch,Couch,Kowch,Nasa sala ang couch.,The couch is in the living room.,,3
Count,Count,Kownt,Count mo ang pera.,Count the money.,,3
Coupon,Coupon,Koo-pon,Meron akong coupon.,I have a coupon.,,3
Course,Course,Kors,Ano ang course mo?,What's your course?,,3
Court,Court,Kort,Nasa court ang laro.,The game is in the court.,,3
Cover,Cover,Ku-ver,Cover mo ang libro.,Cover the book.,,3
Cow,Cow,Kaw,Nasa bukid ang cow.,The cow is in the field.,,1
Crab,Crab,Krab,Nasa dagat ang crab.,The crab is in the sea.,,1
Cracker,Cracker,Kra-ker,Kumain ako ng cracker.,I ate a cracker.,,3
Cream,Cream,Kreem,Lagyan mo ng cream ang cake.,Put cream on the cake.,,3
Credit,Credit,Kre-dit,Nasa credit ang bayad.,The payment is on credit.,,3
Crew,Crew,Kroo,Nasa barko ang crew.,The crew is on the ship.,,1
Crime,Crime,Kraym,Walang crime dito.,There's no crime here.,,3
Crisis,Crisis,Kray-sis,May crisis sa bayan.,There's a crisis in town.,,3
Crisp,Crisp,Krisp,Crisp ang chips ko.,My chips are crisp.,,3
Cross,Cross,Kros,Nasa simbahan ang cross.,The cross is in the church.,,3
Crowd,Crowd,Krawd,Marami ang crowd sa palengke.,The crowd in the market is big.,,3
Crown,Crown,Krawn,Suot niya ang crown.,She's wearing the crown.,,3
Cruise,Cruise,Krooz,Nasa cruise kami bukas.,We'll be on a cruise tomorrow.,,3
Crush,Crush,Krash,May crush ako sa kanya.,I have a crush on him.,,3
Cruz, Cross, kruz, Nakadikit ang cruz sa pinto., The cross is attached to the door.,,1
Cry,Cry,Kray,Nag-cry ang bata.,The child cried.,,1
Crystal,Crystal,Kris-tal,Maganda ang crystal na iyan.,That crystal is beautiful.,,3
Cuadro, Frame, kwa-dro, Maganda ang cuadro sa dingding., The frame on the wall is beautiful.,,3
Cual, Which, kwal, Cual ang gusto mong bilhin?, Which one do you want to buy?,,1
Cube,Cube,Kyub,Gawa sa ice ang cube.,The cube is made of ice.,,1
Cubo, Bucket, ku-bo, May tubig sa cubo., There is water in the bucket.,,1
Cuchara, Spoon, ku-cha-ra, Huwag kalimutan ang cuchara., Don't forget the spoon.,,3
Cuchillo, Knife, ku-chi-yo, Matulis ang cuchillo., The knife is sharp.,,3
Cue,Cue,Kyoo,Hintayin mo ang cue.,Wait for the cue.,,1
Cuerda, String, kwer-da, Hawakan mong mabuti ang cuerda., Hold the string tightly.,,3
Culture,Culture,Kul-tyur,Maganda ang culture natin.,Our culture is beautiful.,,3
Cuna, Cradle, ku-na, Nasa cuna ang sanggol., The baby is in the cradle.,,1
Cup,Cup,Kap,Nasa mesa ang cup ko.,My cup is on the table.,,1
Cure,Cure,Kyur,May cure ang sakit.,There's a cure for the disease.,,1
Current,Current,Ku-rent,Ano ang current news?,What's the current news?,,3
Curtain,Curtain,Kur-tin,Nasa bintana ang curtain.,The curtain is on the window.,,3
Curve,Curve,Kurv,Curve ang daan.,The road is curved.,,3
Custom,Custom,Kus-tom,Sundin mo ang custom.,Follow the custom.,,3
Cut,Cut,Kat,Cut mo ang papel.,Cut the paper.,,1
Cycle,Cycle,Say-kul,Nasa cycle ang buhay.,Life is a cycle.,,3
Daan,Road,Dah-an,Malawak ang daan.,The road is wide.,1.0,1
Daga, Rat, da-ga, May daga sa kusina., There is a rat in the kitchen.,,1
Dagaang,Scorch,Dah-gah-ang,Nadagaang ang pagkain.,The food got scorched.,,3
Dagat, Sea, da-gat, Malinaw ang tubig sa dagat., The water in the sea is clear.,,3
Dagdag,Extra,Dag-dag,May dagdag na bayad.,There's an extra payment.,,3
Dagdagan,Add,Dag-dah-gan,Dagdagan mo ang asin.,Add more salt.,,3
Dagdagsundo,Fetch extra,Dag-dag-soon-doh,Dagdagsundo mo ang bata.,Fetch the child as an extra.,,3
Dahak,Sneeze,Dah-hak,Nagdahak siya kanina.,He sneezed earlier.,,3
Dahil, Because, da-hil, Umalis siya dahil sa ulan., He left because of the rain.,,3
Dahilan,Reason,Dah-hee-lan,Ano ang dahilan mo?,What's your reason?,,3
Dahon, Leaf, da-hon, Nalaglag ang dahon mula sa puno., The leaf fell from the tree.,,3
Dahop,Poor,Dah-hop,Dahop ang pamilya niya.,His family is poor.,,3
Dako,Side,Dah-koh,Nasa dako ito ng bundok.,It's on the side of the mountain.,,1
Dako-dako,Somewhat big,Dah-koh-dah-koh,Dako-dako ang bahay.,The house is somewhat big.,,3
Dala,Bring,Dah-lah,Dala mo ang payong.,Bring the umbrella.,,1
Daladala,Carrying,Dah-lah-dah-lah,Daladala ko ang bag.,I'm carrying the bag.,,3
Dalag,Snakehead fish,Dah-lag,Nasa ilog ang dalag.,The snakehead fish is in the river.,,3
Dalaga, Young woman, da-la-ga, Maganda ang dalaga sa kasal., The young woman is beautiful at the wedding.,,3
Dalagang-bukid,Mudfish,Dah-lah-gang-boo-kid,Gusto ko ng dalagang-bukid.,I like mudfish.,,3
Dalampasigan, Shore, da-lam-pa-si-gan, Naglakad kami sa dalampasigan., We walked along the shore.,,3
Dalangin,Prayer,Dah-lah-ngin,Dalangin ko ang kalusugan.,My prayer is for health.,,3
Dalas,Frequency,Dah-las,Madalas siyang umabsent.,He's frequently absent.,,3
Dalaw,Visit,Dah-lao,Dalaw ka sa bahay.,Visit the house.,,3
Dalawa,Two,Dah-lah-wah,Dalawa ang anak ko.,I have two children.,1.0,3
Dalawampu, Twenty, da-la-wam-pu,,,1.0,3
Dalawang-daan,Two hundred,Dah-lah-wang-dah-an,Dalawang-daan ang bayad.,The payment is two hundred.,,3
Dalhin,Carry,Dal-heen,Dalhin mo ang kahon.,Carry the box.,,3
Dali, Quick, da-li, Magdali ka nang umalis., Hurry up and leave.,,1
Daliri, Finger, da-li-ri, Nasugatan ang kanyang daliri., His finger got wounded.,,3
Dalisay,Pure,Dah-lee-sai,Dalisay ang tubig.,The water is pure.,,3
Dalisdis,Slide,Dah-lis-dis,Nadalisdis siya sa burol.,He slid down the hill.,,3
Damdam,Feel,Dam-dam,Damdam mo ang init.,Feel the heat.,,3
Damdamin, Feelings, dam-da-min, Itinatago niya ang kanyang damdamin., He hides his feelings.,,3
Dami, Quantity, da-mi, Marami ang dami ng tao sa kalsada., There are a lot of people on the street.,,1
Damit,Clothes,Dah-mit,Bago ang damit ko.,My clothes are new.,1.0,3
Damo,Grass,Dah-mo,Marami ang damo sa bukid.,There's a lot of grass in the field.,,1
Damo-damo,Grassy,Dah-mo-dah-mo,Damo-damo ang lugar.,The place is grassy.,,3
Dampol,Pick,Dam-pol,Dampol mo ang bulaklak.,Pick the flower.,,3
Dampot,Pick up,Dam-pot,Dampot mo ang papel.,Pick up the paper.,,3
Danao,Lake,Dah-now,Malaki ang danao.,The lake is big.,,3
Dangal,Honor,Dang-al,Panindigan mo ang dangal.,Stand up for your honor.,,3
Dangkal,Span (hand),Dang-kal,Dangkal ang haba.,The length is a hand span.,,3
Danlak,Fall,Dahn-lak,Nadanlak ang bola.,The ball fell.,,3
Dansa,Dance,Dan-sah,Nagdansa kami kagabi.,We danced last night.,,3
Dapa,Lie face down,Dah-pah,Dapa ka sa sahig.,Lie face down on the floor.,,1
Dapat,Should,Dah-pat,Dapat matulog ka nang mahimbing.,You should sleep well.,,3
Dapat-dapat,Deserving,Dah-pat-dah-pat,Dapat-dapat siya ng gantimpala.,He deserves a reward.,,3
Daraanan,Path,Dah-rah-nah-an,Malayo ang daraanan.,The path is far.,,3
Darami,Multiply,Dah-rah-mee,Darami ang tao sa party.,The people at the party will multiply.,,3
Darating,Arrive,Dah-rah-ting,Darating siya mamaya.,He'll arrive later.,,3
Dasal, Prayer, da-sal, Nagdasal siya bago matulog., He prayed before sleeping.,,3
Dasal-dasal,Pray often,Dah-sal-dah-sal,Dasal-dasal siya tuwing gabi.,He prays often every night.,,3
Data,Data,Dah-tah,Nasa computer ang data.,The data is in the computer.,,1
Dati,Before,Dah-tee, mahirap kami,Before we were poor.,,1
Dating,Arrival,Dah-ting,Mabilis ang dating niya.,His arrival was fast.,,3
Dato,Chief (old term),Dah-toh,Dato ang lolo ko.,My grandpa was a chief.,,1
Datu,Chieftain,Dah-too,Datu ang pinuno noon.,The leader then was a chieftain.,,1
Daw,They say,Dow, maganda daw ito.,They say this is beautiful.,,1
Daya,Cheat,Dah-yah,Huwag kang mandaya.,Don't cheat.,,1
Dayain,Cheat (verb),Dah-yah-in,Huwag mong dayain ang laro.,Don't cheat in the game.,,3
Dayami,Hay,Dah-yah-mee,Nasa kamalig ang dayami.,The hay is in the barn.,,3
Dayap,Lime,Dah-yap,Gusto ko ng dayap juice.,I want lime juice.,,3
Dayuhan,Foreigner,Dah-yoo-han,Dayuhan ang bisita.,The visitor is a foreigner.,,3
Debate,Debate,Deh-beyt,Nag-debate kami kahapon.,We debated yesterday.,,3
December,December,Deh-sem-ber,Nasa December ang Pasko.,Christmas is in December.,,3
Dedma,Ignore,Dead-mah,Dedma mo ang ingay.,Ignore the noise.,,3
Dekada,Decade,Deh-kah-dah,Matagal ang dekada.,The decade was long.,,3
Delata,Canned goods,Deh-lah-tah,Bumili ako ng delata.,I bought canned goods.,,3
Delikadesa,Delicacy (manners),Deh-lee-kah-deh-sah,May delikadesa siya.,He has delicacy in manners.,,3
Delikado,Dangerous,Deh-lee-kah-doh,Delikado ang lugar na ito.,This place is dangerous.,,3
Demokrasya,Democracy,Deh-moh-krah-syah,May demokrasya ang bansa.,The country has democracy.,,3
Demon,Demon,Deh-mon,Nasa kwento ang demon.,The demon is in the story.,,3
Demonyo,Devil,Deh-mon-yoh,Takot ako sa demonyo.,I'm scared of the devil.,,3
Dendeng,Dried fish,Den-deng,Kumain ako ng dendeng.,I ate dried fish.,,3
Densidad,Density,Den-see-dad,Alamin mo ang densidad.,Find out the density.,,3
Dentista,Dentist,Den-tis-tah,Nasa dentista si nanay.,Mom is at the dentist.,,3
Department,Department,Deh-part-ment,Nasa department ang boss.,The boss is in the department.,,3
Depende,Depends,Deh-pen-deh,Depende sa oras.,It depends on the time.,,3
Depensa,Defense,Deh-pen-sah,Matibay ang depensa niya.,His defense is strong.,,3
Deposit,Deposit,Deh-po-sit,Ilagay mo sa bank ang deposit.,Put the deposit in the bank.,,3
Depresyon,Depression,Deh-pres-yon,May depresyon siya.,He has depression.,,3
Deretsahan,Frankly,Deh-ret-sah-han,Deretsahan niyang sinabi.,He said it frankly.,,3
Deretso,Straight,Deh-ret-soh,Deretso ang daan.,The road is straight.,,3
Desisyunan,Decision point,Deh-see-syoo-nan,Nasa desisyunan na kami.,We're at the decision point.,,3
Desk,Desk,Desk,Nasa kwarto ang desk ko.,My desk is in the room.,,1
Dessert,Dessert,Deh-sert,Gusto ko ng dessert.,I want dessert.,,3
Destinasyon,Destination,Des-tee-nah-syon,Ano ang destinasyon mo?,What's your destination?,,3
Detalye,Detail,Deh-tal-yeh,Sabihin mo ang detalye.,Tell me the detail.,,3
Detective,Detective,Deh-tek-tiv,Detective ang tito ko.,My uncle is a detective.,,3
Diamante,Diamond,Dee-yah-man-teh,Mahal ang diamante.,The diamond is expensive.,,3
Diary,Diary,Dai-ya-ree,Nasa bag ang diary ko.,My diary is in my bag.,,3
Dibdib,Chest,Deeb-deeb,Masakit ang dibdib ko.,My chest hurts.,,3
Diborsyo,Divorce,Dee-bor-syoh,May diborsyo ang magulang ko.,My parents have a divorce.,,3
Dibuho,Drawing (variant),Dee-boo-hoh,Gumawa siya ng dibuho.,He made a drawing.,,3
