Filippino Word,English Word,Pronunciation,Example Context,Example English,Difficulty Level,Icon,Real Audio,Part of Speech
Change,Change,Cheynj,Change mo ang pera.,Change the money.,3,🟠,./tagalog_audio/change.mp3,VERB
Channel,Channel,Chan-nel,Nasa TV ang channel ko.,My channel is on the TV.,3,🟠,./tagalog_audio/channel.mp3,PROPN
Chapel,Chapel,Cha-pel,Nasa chapel ang kasal.,The wedding is in the chapel.,3,🟠,./tagalog_audio/chapel.mp3,NOUN
Chapter,Chapter,Chap-ter,Basahin mo ang chapter.,Read the chapter.,3,🟠,./tagalog_audio/chapter.mp3,NOUN
Charge,Charge,Charj,Charge mo ang phone ko.,Charge my phone.,3,🟠,./tagalog_audio/charge.mp3,NOUN
Chat,Chat,Chat,Nag-chat kami kahapon.,We chatted yesterday.,1,🟢,./tagalog_audio/chat.mp3,NOUN
Check,Check,Chek,Check mo ang papel.,Check the paper.,3,🟠,./tagalog_audio/check.mp3,VERB
Chef,Chef,Shef,Chef ang ate ko.,My sister is a chef.,1,🟢,./tagalog_audio/chef.mp3,PROPN
Chemical,Chemical,Ke-mi-kal,Nasa lab ang chemical.,The chemical is in the lab.,3,🟠,./tagalog_audio/chemical.mp3,PROPN
Chess,Chess,Ches,Naglaro kami ng chess.,We played chess.,3,🟠,./tagalog_audio/chess.mp3,NOUN
Chest,Chest,Chest,Masakit ang chest ko.,My chest hurts.,3,🟠,./tagalog_audio/chest.mp3,NOUN
Chicken,Chicken,Chi-ken,Kumain ako ng chicken.,I ate chicken.,3,🟠,./tagalog_audio/chicken.mp3,NOUN
Chief,Chief,Cheef,Chief ang tatay ko.,My dad is the chief.,3,🟠,./tagalog_audio/chief.mp3,NOUN
Child,Child,Chayld,Nasa park ang child.,The child is in the park.,3,🟠,./tagalog_audio/child.mp3,NOUN
Chinelas,Slippers,Chee-neh-las,Nasa paanan ang chinelas.,The slippers are at my feet.,3,🟠,./tagalog_audio/chinelas.mp3,NOUN
Chip,Chip,Chip,Bumili ako ng chip.,I bought a chip.,1,🟢,./tagalog_audio/chip.mp3,NOUN
Chips,Chips,Chips,Gusto ko ng chips.,I want chips.,3,🟠,./tagalog_audio/chips.mp3,NOUN
Chocolate,Chocolate,Cho-ko-let,Nasa ref ang chocolate.,The chocolate is in the fridge.,3,🟠,./tagalog_audio/chocolate.mp3,NOUN
Choice,Choice,Choys,Ano ang choice mo?,What's your choice?,3,🟠,./tagalog_audio/choice.mp3,NOUN
Chop,Chop,Chop,Chop mo ang kahoy.,Chop the wood.,1,🟢,./tagalog_audio/chop.mp3,NOUN
Chorus,Chorus,Ko-rus,Nasa chorus siya ng kanta.,He's in the chorus of the song.,3,🟠,./tagalog_audio/chorus.mp3,NOUN
Christ,Christ,Krayst,Nasa krus si Christ.,Christ is on the cross.,3,🟠,./tagalog_audio/christ.mp3,PROPN
Christmas,Christmas,Kris-mas,Maligaya ang Christmas natin.,Our Christmas is joyful.,3,🟠,./tagalog_audio/christmas.mp3,PROPN
Church,Church,Church,Nasa church ang misa.,The mass is in the church.,3,🟠,./tagalog_audio/church.mp3,NOUN
Cicatriz, Scar, si-ka-tris, May cicatriz siya sa noo., He has a scar on his forehead.,3,🟠,./tagalog_audio/cicatriz.mp3,PROPN
Cigar,Cigar,See-gar,Nasa mesa ang cigar.,The cigar is on the table.,3,🟠,./tagalog_audio/cigar.mp3,PROPN
Cigarette,Cigarette,See-ga-ret,Bumili ako ng cigarette.,I bought a cigarette.,3,🟠,./tagalog_audio/cigarette.mp3,PROPN
Cinema,Cinema,See-neh-mah,Nasa cinema kami kahapon.,We were at the cinema yesterday.,3,🟠,./tagalog_audio/cinema.mp3,NOUN
Cinturon, Belt, sin-tu-ron, Mahal ang bagong cinturon., The new belt is expensive.,3,🟠,./tagalog_audio/cinturon.mp3,PROPN
Circle,Circle,Sir-kul,Bilog ang circle sa papel.,The circle on the paper is round.,3,🟠,./tagalog_audio/circle.mp3,PROPN
Circus,Circus,Sir-kus,Nasa bayan ang circus.,The circus is in town.,3,🟠,./tagalog_audio/circus.mp3,NOUN
City,City,See-tee,Nasa city ang trabaho ko.,My job is in the city.,1,🟢,./tagalog_audio/city.mp3,NOUN
Civil,Civil,See-vil,Civil ang kasal nila.,Their wedding is civil.,3,🟠,./tagalog_audio/civil.mp3,ADJ
Class,Class,Klas,Nasa class ang guro.,The teacher is in class.,3,🟠,./tagalog_audio/class.mp3,NOUN
Classic,Classic,Kla-sik,Classic ang kotse niya.,His car is classic.,3,🟠,./tagalog_audio/classic.mp3,NOUN
Clean,Clean,Kleen,Linisin mo ang clean na mesa.,Clean the clean table.,3,🟠,./tagalog_audio/clean.mp3,ADJ
Clear,Clear,Kleer,Clear ang tubig sa baso.,The water in the glass is clear.,3,🟠,./tagalog_audio/clear.mp3,ADJ
Clerk,Clerk,Klark,Nasa tindahan ang clerk.,The clerk is in the store.,3,🟠,./tagalog_audio/clerk.mp3,NOUN
Client,Client,Klay-yent,Marami ang client niya.,He has many clients.,3,🟠,./tagalog_audio/client.mp3,NOUN
Clinic,Clinic,Kli-nik,Nasa clinic ang doktor.,The doctor is in the clinic.,3,🟠,./tagalog_audio/clinic.mp3,NOUN
Clip,Clip,Klip,Ilagay mo ang clip sa papel.,Put the clip on the paper.,1,🟢,./tagalog_audio/clip.mp3,NOUN
Clock,Clock,Klok,Nasa dingding ang clock.,The clock is on the wall.,3,🟠,./tagalog_audio/clock.mp3,NOUN
Close,Close,Klos,Close mo ang pinto.,Close the door.,3,🟠,./tagalog_audio/close.mp3,ADJ
Closet,Closet,Klo-set,Nasa closet ang damit ko.,My clothes are in the closet.,3,🟠,./tagalog_audio/closet.mp3,NOUN
Cloth,Cloth,Kloth,Gamitin mo ang cloth.,Use the cloth.,3,🟠,./tagalog_audio/cloth.mp3,PROPN
Club,Club,Klab,Nasa club ang party.,The party is in the club.,1,🟢,./tagalog_audio/club.mp3,NOUN
Coach,Coach,Koch,Coach ang tito ko.,My uncle is a coach.,3,🟠,./tagalog_audio/coach.mp3,NOUN
Coal,Coal,Kohl,Nasa kusina ang coal.,The coal is in the kitchen.,1,🟢,./tagalog_audio/coal.mp3,NOUN
Coat,Coat,Kot,Suot ko ang coat.,I'm wearing the coat.,1,🟢,./tagalog_audio/coat.mp3,NOUN
Coche, Car, koh-che, Bumili siya ng bagong coche., He bought a new car.,3,🟠,./tagalog_audio/coche.mp3,NOUN
Cocktail,Cocktail,Kok-teyl,Gusto ko ng cocktail.,I want a cocktail.,3,🟠,./tagalog_audio/cocktail.mp3,NOUN
Coco, Coconut, ko-ko, Gamit ang coco sa pagluluto., Coconut is used in cooking.,1,🟢,./tagalog_audio/coco.mp3,PROPN
Coconut,Coconut,Ko-ko-nat,Nasa puno ang coconut.,The coconut is in the tree.,3,🟠,./tagalog_audio/coconut.mp3,PROPN
Code,Code,Kod,Ano ang code ng lock?,What's the code of the lock?,1,🟢,./tagalog_audio/code.mp3,NOUN
Coffee,Coffee,Ko-pee,Uminom ako ng coffee.,I drank coffee.,3,🟠,./tagalog_audio/coffee.mp3,NOUN
Coin,Coin,Koyn,Nasa bulsa ang coin ko.,The coin is in my pocket.,1,🟢,./tagalog_audio/coin.mp3,NOUN
Cold,Cold,Kold,Malamig ang cold water.,The cold water is cold.,1,🟢,./tagalog_audio/cold.mp3,ADJ
Colgate,Colgate (toothpaste),Kol-geyt,Gamit ko ang Colgate.,I use Colgate.,3,🟠,./tagalog_audio/colgate.mp3,PROPN
College,College,Ko-ledj,Nasa college ang ate ko.,My sister is in college.,3,🟠,./tagalog_audio/college.mp3,NOUN
Color,Color,Ku-lor,Ano ang color ng bag?,What's the color of the bag?,3,🟠,./tagalog_audio/color.mp3,NOUN
Column,Column,Ko-lum,Nasa dyaryo ang column.,The column is in the newspaper.,3,🟠,./tagalog_audio/column.mp3,NOUN
Comb,Comb,Kohm,Gamitin mo ang comb.,Use the comb.,1,🟢,./tagalog_audio/comb.mp3,VERB
Comedy,Comedy,Ko-me-dee,Nakakatawa ang comedy.,The comedy is funny.,3,🟠,./tagalog_audio/comedy.mp3,NOUN
Comfort,Comfort,Kum-fort,Comfort ang upuan.,The chair is comfortable.,3,🟠,./tagalog_audio/comfort.mp3,NOUN
Comic,Comic,Ko-mik,Bumili ako ng comic.,I bought a comic.,3,🟠,./tagalog_audio/comic.mp3,ADJ
Comida, Food, ko-mee-da, Masarap ang comida sa bahay nila., The food in their house is delicious.,2,🟡,./tagalog_audio/comida.mp3,PROPN
Company,Company,Kum-pa-nee,Nasa company ang nanay ko.,My mom is at the company.,3,🟠,./tagalog_audio/company.mp3,NOUN
Complete,Complete,Kom-pleet,Complete na ang trabaho.,The work is complete.,3,🟠,./tagalog_audio/complete.mp3,ADJ
Computer,Computer,Kom-pyu-ter,Nasa kwarto ang computer.,The computer is in the room.,3,🟠,./tagalog_audio/computer.mp3,NOUN
Concert,Concert,Kon-sert,Nasa concert kami bukas.,We'll be at the concert tomorrow.,3,🟠,./tagalog_audio/concert.mp3,PROPN
Condensed,Condensed,Kon-densd,Gusto ko ng condensed milk.,I want condensed milk.,3,🟠,./tagalog_audio/condensed.mp3,VERB
Condition,Condition,Kon-di-shon,Ano ang condition ng kotse?,What's the condition of the car?,3,🟠,./tagalog_audio/condition.mp3,NOUN
Contest,Contest,Kon-test,Sali ako sa contest.,I'll join the contest.,3,🟠,./tagalog_audio/contest.mp3,NOUN
Contract,Contract,Kon-trakt,Pirmahan mo ang contract.,Sign the contract.,3,🟠,./tagalog_audio/contract.mp3,NOUN
Control,Control,Kon-trol,Control mo ang TV.,Control the TV.,3,🟠,./tagalog_audio/control.mp3,NOUN
Cook,Cook,Kuk,Kumain kami ng cook na pagkain.,We ate cooked food.,1,🟢,./tagalog_audio/cook.mp3,NOUN
Cool,Cool,Kool,Cool ang hangin ngayon.,The air is cool now.,1,🟢,./tagalog_audio/cool.mp3,ADJ
Copy,Copy,Ko-pee,Copy mo ang sagot.,Copy the answer.,1,🟢,./tagalog_audio/copy.mp3,VERB
Cord,Cord,Kord,Nasa mesa ang cord.,The cord is on the table.,1,🟢,./tagalog_audio/cord.mp3,NOUN
Cork,Cork,Kork,Gamitin mo ang cork.,Use the cork.,1,🟢,./tagalog_audio/cork.mp3,NOUN
Corn,Corn,Korn,Kumain ako ng corn.,I ate corn.,1,🟢,./tagalog_audio/corn.mp3,NOUN
Corner,Corner,Kor-ner,Nasa corner ang upuan.,The chair is in the corner.,3,🟠,./tagalog_audio/corner.mp3,PROPN
Coro, Choir, ko-ro, Sumali siya sa coro sa simbahan., He joined the church choir.,1,🟢,./tagalog_audio/coro.mp3,PROPN
Corte, Cut, kor-te, Maganda ang corte ng damit niya., The cut of her dress is beautiful.,3,🟠,./tagalog_audio/corte.mp3,NOUN
Cost,Cost,Kost,Magkano ang cost?,How much is the cost?,1,🟢,./tagalog_audio/cost.mp3,NOUN
Costume,Costume,Kos-tyum,Suot ko ang costume.,I'm wearing the costume.,3,🟠,./tagalog_audio/costume.mp3,NOUN
Cottage,Cottage,Ko-tidj,Nasa bukid ang cottage.,The cottage is in the field.,3,🟠,./tagalog_audio/cottage.mp3,NOUN
Cotton,Cotton,Ko-ton,Gawa sa cotton ang damit.,The clothes are made of cotton.,3,🟠,./tagalog_audio/cotton.mp3,NOUN
Couch,Couch,Kowch,Nasa sala ang couch.,The couch is in the living room.,3,🟠,./tagalog_audio/couch.mp3,NOUN
Count,Count,Kownt,Count mo ang pera.,Count the money.,3,🟠,./tagalog_audio/count.mp3,NOUN
Coupon,Coupon,Koo-pon,Meron akong coupon.,I have a coupon.,3,🟠,./tagalog_audio/coupon.mp3,NOUN
Course,Course,Kors,Ano ang course mo?,What's your course?,3,🟠,./tagalog_audio/course.mp3,NOUN
Court,Court,Kort,Nasa court ang laro.,The game is in the court.,3,🟠,./tagalog_audio/court.mp3,PROPN
Cover,Cover,Ku-ver,Cover mo ang libro.,Cover the book.,3,🟠,./tagalog_audio/cover.mp3,NOUN
Cow,Cow,Kaw,Nasa bukid ang cow.,The cow is in the field.,1,🟢,./tagalog_audio/cow.mp3,NOUN
Crab,Crab,Krab,Nasa dagat ang crab.,The crab is in the sea.,1,🟢,./tagalog_audio/crab.mp3,NOUN
Cracker,Cracker,Kra-ker,Kumain ako ng cracker.,I ate a cracker.,3,🟠,./tagalog_audio/cracker.mp3,PROPN
Cream,Cream,Kreem,Lagyan mo ng cream ang cake.,Put cream on the cake.,3,🟠,./tagalog_audio/cream.mp3,NOUN
Credit,Credit,Kre-dit,Nasa credit ang bayad.,The payment is on credit.,3,🟠,./tagalog_audio/credit.mp3,NOUN
Crew,Crew,Kroo,Nasa barko ang crew.,The crew is on the ship.,1,🟢,./tagalog_audio/crew.mp3,NOUN
Crime,Crime,Kraym,Walang crime dito.,There's no crime here.,3,🟠,./tagalog_audio/crime.mp3,NOUN
Crisis,Crisis,Kray-sis,May crisis sa bayan.,There's a crisis in town.,3,🟠,./tagalog_audio/crisis.mp3,NOUN
Crisp,Crisp,Krisp,Crisp ang chips ko.,My chips are crisp.,3,🟠,./tagalog_audio/crisp.mp3,ADJ
Cross,Cross,Kros,Nasa simbahan ang cross.,The cross is in the church.,3,🟠,./tagalog_audio/cross.mp3,VERB
Crowd,Crowd,Krawd,Marami ang crowd sa palengke.,The crowd in the market is big.,3,🟠,./tagalog_audio/crowd.mp3,NOUN
Crown,Crown,Krawn,Suot niya ang crown.,She's wearing the crown.,3,🟠,./tagalog_audio/crown.mp3,PROPN
Cruise,Cruise,Krooz,Nasa cruise kami bukas.,We'll be on a cruise tomorrow.,3,🟠,./tagalog_audio/cruise.mp3,NOUN
Crush,Crush,Krash,May crush ako sa kanya.,I have a crush on him.,3,🟠,./tagalog_audio/crush.mp3,NOUN
Cruz, Cross, kruz, Nakadikit ang cruz sa pinto., The cross is attached to the door.,1,🟢,./tagalog_audio/cruz.mp3,VERB
Cry,Cry,Kray,Nag-cry ang bata.,The child cried.,1,🟢,./tagalog_audio/cry.mp3,VERB
Crystal,Crystal,Kris-tal,Maganda ang crystal na iyan.,That crystal is beautiful.,3,🟠,./tagalog_audio/crystal.mp3,PROPN
Cuadro, Frame, kwa-dro, Maganda ang cuadro sa dingding., The frame on the wall is beautiful.,3,🟠,./tagalog_audio/cuadro.mp3,PROPN
Cual, Which, kwal, Cual ang gusto mong bilhin?, Which one do you want to buy?,1,🟢,./tagalog_audio/cual.mp3,PRON
Cube,Cube,Kyub,Gawa sa ice ang cube.,The cube is made of ice.,1,🟢,./tagalog_audio/cube.mp3,NOUN
Cubo, Bucket, ku-bo, May tubig sa cubo., There is water in the bucket.,1,🟢,./tagalog_audio/cubo.mp3,PROPN
Cuchara, Spoon, ku-cha-ra, Huwag kalimutan ang cuchara., Don't forget the spoon.,3,🟠,./tagalog_audio/cuchara.mp3,VERB
Cuchillo, Knife, ku-chi-yo, Matulis ang cuchillo., The knife is sharp.,3,🟠,./tagalog_audio/cuchillo.mp3,PROPN
Cue,Cue,Kyoo,Hintayin mo ang cue.,Wait for the cue.,1,🟢,./tagalog_audio/cue.mp3,PROPN
Cuerda, String, kwer-da, Hawakan mong mabuti ang cuerda., Hold the string tightly.,3,🟠,./tagalog_audio/cuerda.mp3,PROPN
Culture,Culture,Kul-tyur,Maganda ang culture natin.,Our culture is beautiful.,3,🟠,./tagalog_audio/culture.mp3,NOUN
Cuna, Cradle, ku-na, Nasa cuna ang sanggol., The baby is in the cradle.,1,🟢,./tagalog_audio/cuna.mp3,PROPN
Cup,Cup,Kap,Nasa mesa ang cup ko.,My cup is on the table.,1,🟢,./tagalog_audio/cup.mp3,PROPN
Cure,Cure,Kyur,May cure ang sakit.,There's a cure for the disease.,1,🟢,./tagalog_audio/cure.mp3,VERB
Current,Current,Ku-rent,Ano ang current news?,What's the current news?,3,🟠,./tagalog_audio/current.mp3,ADJ
Curtain,Curtain,Kur-tin,Nasa bintana ang curtain.,The curtain is on the window.,3,🟠,./tagalog_audio/curtain.mp3,NOUN
Curve,Curve,Kurv,Curve ang daan.,The road is curved.,3,🟠,./tagalog_audio/curve.mp3,NOUN
Custom,Custom,Kus-tom,Sundin mo ang custom.,Follow the custom.,3,🟠,./tagalog_audio/custom.mp3,NOUN
Cut,Cut,Kat,Cut mo ang papel.,Cut the paper.,1,🟢,./tagalog_audio/cut.mp3,VERB
Cycle,Cycle,Say-kul,Nasa cycle ang buhay.,Life is a cycle.,3,🟠,./tagalog_audio/cycle.mp3,NOUN
Daan,Road,Dah-an,Malawak ang daan.,The road is wide.,1,🟢,./tagalog_audio/daan.mp3,PROPN
Daga, Rat, da-ga, May daga sa kusina., There is a rat in the kitchen.,1,🟢,./tagalog_audio/daga.mp3,VERB
Dagaang,Scorch,Dah-gah-ang,Nadagaang ang pagkain.,The food got scorched.,3,🟠,./tagalog_audio/dagaang.mp3,PROPN
Dagat, Sea, da-gat, Malinaw ang tubig sa dagat., The water in the sea is clear.,3,🟠,./tagalog_audio/dagat.mp3,PROPN
Dagdag,Extra,Dag-dag,May dagdag na bayad.,There's an extra payment.,3,🟠,./tagalog_audio/dagdag.mp3,ADJ
Dagdagan,Add,Dag-dah-gan,Dagdagan mo ang asin.,Add more salt.,3,🟠,./tagalog_audio/dagdagan.mp3,VERB
Dagdagsundo,Fetch extra,Dag-dag-soon-doh,Dagdagsundo mo ang bata.,Fetch the child as an extra.,3,🟠,./tagalog_audio/dagdagsundo.mp3,PROPN
Dahak,Sneeze,Dah-hak,Nagdahak siya kanina.,He sneezed earlier.,3,🟠,./tagalog_audio/dahak.mp3,VERB
Dahil, Because, da-hil, Umalis siya dahil sa ulan., He left because of the rain.,3,🟠,./tagalog_audio/dahil.mp3,SCONJ
Dahilan,Reason,Dah-hee-lan,Ano ang dahilan mo?,What's your reason?,3,🟠,./tagalog_audio/dahilan.mp3,NOUN
Dahon, Leaf, da-hon, Nalaglag ang dahon mula sa puno., The leaf fell from the tree.,3,🟠,./tagalog_audio/dahon.mp3,VERB
Dahop,Poor,Dah-hop,Dahop ang pamilya niya.,His family is poor.,3,🟠,./tagalog_audio/dahop.mp3,ADJ
Dako,Side,Dah-koh,Nasa dako ito ng bundok.,It's on the side of the mountain.,1,🟢,./tagalog_audio/dako.mp3,NOUN
Dako-dako,Somewhat big,Dah-koh-dah-koh,Dako-dako ang bahay.,The house is somewhat big.,3,🟠,./tagalog_audio/dako-dako.mp3,ADV
Dala,Bring,Dah-lah,Dala mo ang payong.,Bring the umbrella.,1,🟢,./tagalog_audio/dala.mp3,VERB
Daladala,Carrying,Dah-lah-dah-lah,Daladala ko ang bag.,I'm carrying the bag.,3,🟠,./tagalog_audio/daladala.mp3,VERB
Dalag,Snakehead fish,Dah-lag,Nasa ilog ang dalag.,The snakehead fish is in the river.,3,🟠,./tagalog_audio/dalag.mp3,ADJ
Dalaga, Young woman, da-la-ga, Maganda ang dalaga sa kasal., The young woman is beautiful at the wedding.,3,🟠,./tagalog_audio/dalaga.mp3,ADJ
Dalagang-bukid,Mudfish,Dah-lah-gang-boo-kid,Gusto ko ng dalagang-bukid.,I like mudfish.,3,🟠,./tagalog_audio/dalagang-bukid.mp3,ADJ
Dalampasigan, Shore, da-lam-pa-si-gan, Naglakad kami sa dalampasigan., We walked along the shore.,3,🟠,./tagalog_audio/dalampasigan.mp3,PROPN
Dalangin,Prayer,Dah-lah-ngin,Dalangin ko ang kalusugan.,My prayer is for health.,3,🟠,./tagalog_audio/dalangin.mp3,NOUN
Dalas,Frequency,Dah-las,Madalas siyang umabsent.,He's frequently absent.,3,🟠,./tagalog_audio/dalas.mp3,NOUN
Dalaw,Visit,Dah-lao,Dalaw ka sa bahay.,Visit the house.,3,🟠,./tagalog_audio/dalaw.mp3,VERB
Dalawa,Two,Dah-lah-wah,Dalawa ang anak ko.,I have two children.,3,🟠,./tagalog_audio/dalawa.mp3,NUM
Dalawampu, Twenty, da-la-wam-pu,,,3,🟠,./tagalog_audio/dalawampu.mp3,PROPN
Dalawang-daan,Two hundred,Dah-lah-wang-dah-an,Dalawang-daan ang bayad.,The payment is two hundred.,3,🟠,./tagalog_audio/dalawang-daan.mp3,NUM
Dalhin,Carry,Dal-heen,Dalhin mo ang kahon.,Carry the box.,3,🟠,./tagalog_audio/dalhin.mp3,VERB
Dali, Quick, da-li, Magdali ka nang umalis., Hurry up and leave.,1,🟢,./tagalog_audio/dali.mp3,ADJ
Daliri, Finger, da-li-ri, Nasugatan ang kanyang daliri., His finger got wounded.,3,🟠,./tagalog_audio/daliri.mp3,PROPN
Dalisay,Pure,Dah-lee-sai,Dalisay ang tubig.,The water is pure.,3,🟠,./tagalog_audio/dalisay.mp3,ADJ
Dalisdis,Slide,Dah-lis-dis,Nadalisdis siya sa burol.,He slid down the hill.,3,🟠,./tagalog_audio/dalisdis.mp3,NOUN
Damdam,Feel,Dam-dam,Damdam mo ang init.,Feel the heat.,3,🟠,./tagalog_audio/damdam.mp3,VERB
Damdamin, Feelings, dam-da-min, Itinatago niya ang kanyang damdamin., He hides his feelings.,3,🟠,./tagalog_audio/damdamin.mp3,NOUN
Dami, Quantity, da-mi, Marami ang dami ng tao sa kalsada., There are a lot of people on the street.,1,🟢,./tagalog_audio/dami.mp3,NOUN
Damit,Clothes,Dah-mit,Bago ang damit ko.,My clothes are new.,3,🟠,./tagalog_audio/damit.mp3,NOUN
Damo,Grass,Dah-mo,Marami ang damo sa bukid.,There's a lot of grass in the field.,1,🟢,./tagalog_audio/damo.mp3,NOUN
Damo-damo,Grassy,Dah-mo-dah-mo,Damo-damo ang lugar.,The place is grassy.,3,🟠,./tagalog_audio/damo-damo.mp3,PROPN
Dampol,Pick,Dam-pol,Dampol mo ang bulaklak.,Pick the flower.,3,🟠,./tagalog_audio/dampol.mp3,VERB
Dampot,Pick up,Dam-pot,Dampot mo ang papel.,Pick up the paper.,3,🟠,./tagalog_audio/dampot.mp3,VERB
Danao,Lake,Dah-now,Malaki ang danao.,The lake is big.,3,🟠,./tagalog_audio/danao.mp3,NOUN
Dangal,Honor,Dang-al,Panindigan mo ang dangal.,Stand up for your honor.,3,🟠,./tagalog_audio/dangal.mp3,NOUN
Dangkal,Span (hand),Dang-kal,Dangkal ang haba.,The length is a hand span.,3,🟠,./tagalog_audio/dangkal.mp3,PROPN
Danlak,Fall,Dahn-lak,Nadanlak ang bola.,The ball fell.,3,🟠,./tagalog_audio/danlak.mp3,VERB
Dansa,Dance,Dan-sah,Nagdansa kami kagabi.,We danced last night.,3,🟠,./tagalog_audio/dansa.mp3,NOUN
Dapa,Lie face down,Dah-pah,Dapa ka sa sahig.,Lie face down on the floor.,1,🟢,./tagalog_audio/dapa.mp3,NOUN
Dapat,Should,Dah-pat,Dapat matulog ka nang mahimbing.,You should sleep well.,3,🟠,./tagalog_audio/dapat.mp3,AUX
Dapat-dapat,Deserving,Dah-pat-dah-pat,Dapat-dapat siya ng gantimpala.,He deserves a reward.,3,🟠,./tagalog_audio/dapat-dapat.mp3,VERB
Daraanan,Path,Dah-rah-nah-an,Malayo ang daraanan.,The path is far.,3,🟠,./tagalog_audio/daraanan.mp3,NOUN
Darami,Multiply,Dah-rah-mee,Darami ang tao sa party.,The people at the party will multiply.,3,🟠,./tagalog_audio/darami.mp3,PROPN
Darating,Arrive,Dah-rah-ting,Darating siya mamaya.,He'll arrive later.,3,🟠,./tagalog_audio/darating.mp3,VERB
Dasal, Prayer, da-sal, Nagdasal siya bago matulog., He prayed before sleeping.,3,🟠,./tagalog_audio/dasal.mp3,PROPN
Dasal-dasal,Pray often,Dah-sal-dah-sal,Dasal-dasal siya tuwing gabi.,He prays often every night.,3,🟠,./tagalog_audio/dasal-dasal.mp3,VERB
Data,Data,Dah-tah,Nasa computer ang data.,The data is in the computer.,1,🟢,./tagalog_audio/data.mp3,NOUN
Dati,Before,Dah-tee, mahirap kami,Before we were poor.,1,🟢,./tagalog_audio/dati.mp3,ADP
Dating,Arrival,Dah-ting,Mabilis ang dating niya.,His arrival was fast.,3,🟠,./tagalog_audio/dating.mp3,NOUN
Dato,Chief (old term),Dah-toh,Dato ang lolo ko.,My grandpa was a chief.,1,🟢,./tagalog_audio/dato.mp3,ADJ
Datu,Chieftain,Dah-too,Datu ang pinuno noon.,The leader then was a chieftain.,1,🟢,./tagalog_audio/datu.mp3,VERB
Daw,They say,Dow, maganda daw ito.,They say this is beautiful.,1,🟢,./tagalog_audio/daw.mp3,PRON
Daya,Cheat,Dah-yah,Huwag kang mandaya.,Don't cheat.,1,🟢,./tagalog_audio/daya.mp3,VERB
Dayain,Cheat (verb),Dah-yah-in,Huwag mong dayain ang laro.,Don't cheat in the game.,3,🟠,./tagalog_audio/dayain.mp3,VERB
Dayami,Hay,Dah-yah-mee,Nasa kamalig ang dayami.,The hay is in the barn.,3,🟠,./tagalog_audio/dayami.mp3,VERB
Dayap,Lime,Dah-yap,Gusto ko ng dayap juice.,I want lime juice.,3,🟠,./tagalog_audio/dayap.mp3,NOUN
Dayuhan,Foreigner,Dah-yoo-han,Dayuhan ang bisita.,The visitor is a foreigner.,3,🟠,./tagalog_audio/dayuhan.mp3,NOUN
Debate,Debate,Deh-beyt,Nag-debate kami kahapon.,We debated yesterday.,3,🟠,./tagalog_audio/debate.mp3,NOUN
December,December,Deh-sem-ber,Nasa December ang Pasko.,Christmas is in December.,3,🟠,./tagalog_audio/december.mp3,PROPN
Dedma,Ignore,Dead-mah,Dedma mo ang ingay.,Ignore the noise.,3,🟠,./tagalog_audio/dedma.mp3,VERB
Dekada,Decade,Deh-kah-dah,Matagal ang dekada.,The decade was long.,3,🟠,./tagalog_audio/dekada.mp3,NOUN
Delata,Canned goods,Deh-lah-tah,Bumili ako ng delata.,I bought canned goods.,3,🟠,./tagalog_audio/delata.mp3,ADJ
Delikadesa,Delicacy (manners),Deh-lee-kah-deh-sah,May delikadesa siya.,He has delicacy in manners.,3,🟠,./tagalog_audio/delikadesa.mp3,NOUN
Delikado,Dangerous,Deh-lee-kah-doh,Delikado ang lugar na ito.,This place is dangerous.,3,🟠,./tagalog_audio/delikado.mp3,ADJ
Demokrasya,Democracy,Deh-moh-krah-syah,May demokrasya ang bansa.,The country has democracy.,3,🟠,./tagalog_audio/demokrasya.mp3,NOUN
Demon,Demon,Deh-mon,Nasa kwento ang demon.,The demon is in the story.,3,🟠,./tagalog_audio/demon.mp3,NOUN
Demonyo,Devil,Deh-mon-yoh,Takot ako sa demonyo.,I'm scared of the devil.,3,🟠,./tagalog_audio/demonyo.mp3,NOUN
Dendeng,Dried fish,Den-deng,Kumain ako ng dendeng.,I ate dried fish.,3,🟠,./tagalog_audio/dendeng.mp3,ADJ
Densidad,Density,Den-see-dad,Alamin mo ang densidad.,Find out the density.,3,🟠,./tagalog_audio/densidad.mp3,NOUN
Dentista,Dentist,Den-tis-tah,Nasa dentista si nanay.,Mom is at the dentist.,3,🟠,./tagalog_audio/dentista.mp3,PROPN
Department,Department,Deh-part-ment,Nasa department ang boss.,The boss is in the department.,3,🟠,./tagalog_audio/department.mp3,PROPN
Depende,Depends,Deh-pen-deh,Depende sa oras.,It depends on the time.,3,🟠,./tagalog_audio/depende.mp3,VERB
Depensa,Defense,Deh-pen-sah,Matibay ang depensa niya.,His defense is strong.,3,🟠,./tagalog_audio/depensa.mp3,NOUN
Deposit,Deposit,Deh-po-sit,Ilagay mo sa bank ang deposit.,Put the deposit in the bank.,3,🟠,./tagalog_audio/deposit.mp3,NOUN
Depresyon,Depression,Deh-pres-yon,May depresyon siya.,He has depression.,3,🟠,./tagalog_audio/depresyon.mp3,NOUN
Deretsahan,Frankly,Deh-ret-sah-han,Deretsahan niyang sinabi.,He said it frankly.,3,🟠,./tagalog_audio/deretsahan.mp3,ADV
