Filippino Word,English Word,Pronunciation,Example Context,Example English,Survival
Burol,Wake (funeral),Boo-rol,Nasa burol ang lolo ko.,Grandpa's wake is happening.,
Bus,Bus,Boos,Sumakay ako sa bus.,I rode the bus.,1
Busina,Horn,Boo-see-nah,Pinatunog niya ang busina.,He honked the horn.,
Busog,Full (stomach),Boo-sog,Busog na ako.,I'm full now.,
Butas,Hole,Boo-tas,May butas ang damit ko.,There's a hole in my clothes.,
Buti,Good (luck),Boo-tee,Buti na lang nandito ka.,Good thing you're here.,
Buto,Bone,Boo-toh,Malakas ang buto ko.,My bones are strong.,
Butones,Button,Boo-toh-nes,Nawala ang butones ng polo ko.,The button on my shirt is missing.,
Buwan,Month/Moon,boo-wan,Ilang buwan ka nang naninirahan dito?,How many months have you been living here?,1
Buwis,Tax,Boo-wis,Mahal ang buwis dito.,The tax here is high.,
Buwisita,Annoying,Boo-wee-see-tah,Buwisita ang bata.,The child is annoying.,
Buyo,Chew,Boo-yoh,Nagbuyo siya ng mamâ.,He chewed betel nut.,
Byahe,Trip (variant),Bee-yah-heh,Matagal ang byahe natin.,Our trip is long.,1
Byenan,Mother-in-law,Bee-yeh-nan,Mabait ang byenan ko.,My mother-in-law is kind.,
Caña, Sugarcane, ka-nya, May taniman sila ng caña., They have a sugarcane plantation.,
Cab,Cab,Kab,Sumakay ako sa cab.,I rode a cab.,
Caballo, Horse, ka-ba-lyo, Sumakay siya sa caballo., He rode a horse.,
Cabana, Hut, ka-ba-na, Nanirahan sila sa isang cabana., They lived in a hut.,
Caberet,Cabaret,Kah-beh-ret,Nasa caberet ang sayawan.,The dance is at the cabaret.,
Cabin,Cabin,Ka-bin,Nasa bundok ang cabin.,The cabin is in the mountains.,
Cabinet,Cabinet,Ka-bi-net,Nasa kusina ang cabinet.,The cabinet is in the kitchen.,
Cable,Cable,Kay-bul,Nasa TV ang cable.,The cable is on the TV.,
Cactus,Cactus,Kak-toos,Nasa hardin ang cactus.,The cactus is in the garden.,
Cafeteria,Cafeteria,Kah-feh-teh-ree-yah,Kumain kami sa cafeteria.,We ate in the cafeteria.,
Cage,Cage,Keyj,Nasa cage ang ibon.,The bird is in the cage.,
Caja, Box, ka-ha, Ang caja ay puno ng gamit., The box is full of things.,
Cake,Cake,Keyk,Gusto ko ng cake.,I want cake.,
Calendar,Calendar,Kah-len-dar,Nasa dingding ang calendar.,The calendar is on the wall.,
Call,Call,Kol,Tawagan mo ako.,Call me.,
Calle,Street,ka-leh,Maraming tao sa calle tuwing piyesta. (There are many people on the street during the festival.),,1
Callejero, Street vendor, ka-ye-he-ro, Bumili kami ng pagkain sa callejero., We bought food from the street vendor.,
Callejon, Alley, ka-ye-hon, Makipot ang callejon sa bayan., The alley in the town is narrow.,
Calm,Calm,Kalm,Calm ang dagat ngayon.,The sea is calm now.,
Camarera, Waitress, ka-ma-re-ra, Magalang ang camarera sa restawran., The waitress is polite in the restaurant.,
Camel,Camel,Ka-mel,Nasa disyerto ang camel.,The camel is in the desert.,
Camera,Camera,Kah-meh-rah,Nawala ang camera ko.,My camera is lost.,
Camp,Camp,Kamp,Nasa camp ang mga bata.,The kids are at camp.,
Camping,Camping,Kam-ping,Nasa gubat kami nag-camping.,We went camping in the forest.,
Can,Can,Kan,Nasa lata ang sardinas.,The sardines are in a can.,
Cancel,Cancel,Kan-sel,Cancel mo ang plano.,Cancel the plan.,
Cancer,Cancer,Kan-ser,May cancer ang lolo ko.,My grandpa has cancer.,
Candle,Candle,Kan-dul,Nasa mesa ang candle.,The candle is on the table.,
Candy,Candy,Kan-dee,Bumili ako ng candy.,I bought candy.,
Cano,Canoe (variant),Ka-noh,Gamitin mo ang cano.,Use the canoe.,
Canoe,Canoe,Kah-noo,Nasa ilog ang canoe.,The canoe is in the river.,
Canta, Sing, kan-ta, Gusto niyang canta tuwing naliligo., She likes to sing while showering.,
Canton,Canton (noodles),Kan-ton,Gusto ko ng canton.,I like canton noodles.,
Cap,Cap,Kap,Suot ko ang cap.,I'm wearing a cap.,
Capas, Coat, ka-pas, Suot niya ang capas dahil malamig., He is wearing a coat because it is cold.,
Cape,Cape,Keyp,Maganda ang cape niya.,Her cape is beautiful.,
Capital,Capital,Kah-pee-tal,Manila ang capital natin.,Manila is our capital.,
Captain,Captain,Kap-tayn,Captain ang tatay ko.,My dad is a captain.,
Capture,Capture,Kap-tyur,Capture mo ang larawan.,Capture the picture.,
Car,Car,Kar,Nasa garahe ang car.,The car is in the garage.,
Carbon,Carbon,Kar-bon,Gamit nila ang carbon.,They use carbon.,
Card,Card,Kard,Bigay mo ang card ko.,Give me my card.,
Cardboard,Cardboard,Kard-bord,Gawa sa cardboard ang kahon.,The box is made of cardboard.,
Care,Care,Ker,Care mo ang bata.,Care for the child.,
Carne, Meat, kar-ne, Bumili siya ng carne sa palengke., He bought meat at the market.,
Carnival,Carnival,Kar-ni-val,Nasa bayan ang carnival.,The carnival is in town.,
Carpenter,Carpenter,Kar-pen-ter,Carpenter ang tito ko.,My uncle is a carpenter.,
Carpet,Carpet,Kar-pet,Nasa sahig ang carpet.,The carpet is on the floor.,
Carrot,Carrot,Ka-rot,Kumain ako ng carrot.,I ate a carrot.,
Carry,Carry,Ka-ree,Carry mo ang bag.,Carry the bag.,
Cart,Cart,Kart,Nasa palengke ang cart.,The cart is in the market.,
Cartolina,Cartolina (paper),Kar-toh-lee-nah,Gumawa ako ng cartolina.,I made a cartolina project.,
Case,Case,Keys,Nasa abogado ang case ko.,My case is with the lawyer.,
Cash,Cash,Kash,Nasa bulsa ang cash ko.,My cash is in my pocket.,
Cashier,Cashier,Ka-sheer,Nasa tindahan ang cashier.,The cashier is in the store.,
Casino,Casino,Kah-see-noh,Nasa casino ang tito ko.,My uncle is at the casino.,
Cast,Cast,Kast,Cast mo ang boto.,Cast your vote.,
Castaño, Brown, kas-ta-nyo, Castaño ang buhok niya., Her hair is brown.,
Castle,Castle,Kas-tul,Nasa bundok ang castle.,The castle is in the mountains.,
Cat,Cat,Kat,Nasa bubong ang cat.,The cat is on the roof.,
Catalog,Catalog,Ka-ta-log,Nasa opisina ang catalog.,The catalog is in the office.,
Catch,Catch,Ketch,Sinalo ko ang catch.,I caught the ball.,
Category,Category,Ka-te-go-ree,Ano ang category nito?,What's the category of this?,
Cater,Cater,Kay-ter,Nag-cater sila sa party.,They catered the party.,
Catholic,Catholic,Kah-toh-lik,Catholic ang nanay ko.,My mom is Catholic.,
Cebolla, Onion, se-bo-lya, Gamit ang cebolla sa pagluluto., Onion is used in cooking.,
Ceiling,Ceiling,See-ling,Mataas ang ceiling natin.,Our ceiling is high.,
Cellphone,Cellphone,Sel-pon,Nasa mesa ang cellphone ko.,My cellphone is on the table.,
Cement,Cement,Seh-ment,Gawa sa cement ang bahay.,The house is made of cement.,
Cemento, Cement, se-men-to, Matibay ang pader na gawa sa cemento., The wall made of cement is strong.,
Center,Center,Sen-ter,Nasa center ang tindahan.,The store is in the center.,
Central,Central,Sen-tral,Nasa central ang opisina.,The office is in the central area.,
Cereal,Cereal,Seh-ree-yal,Kumain ako ng cereal.,I ate cereal.,
Ceremony,Ceremony,Seh-reh-mo-nee,Nasa simbahan ang ceremony.,The ceremony is in the church.,
Chain,Chain,Cheyn,Nasa leeg ko ang chain.,The chain is on my neck.,
Chair,Chair,Cheyr,Nasa sala ang chair.,The chair is in the living room.,
Chalk,Chalk,Chok,Gumamit ako ng chalk.,I used chalk.,
Champion,Champion,Cham-pee-yon,Champion siya sa laro.,He's the champion of the game.,
Chance,Chance,Chans,Bigyan mo ako ng chance.,Give me a chance.,
Change,Change,Cheynj,Change mo ang pera.,Change the money.,
Channel,Channel,Chan-nel,Nasa TV ang channel ko.,My channel is on the TV.,
Chapel,Chapel,Cha-pel,Nasa chapel ang kasal.,The wedding is in the chapel.,
Chapter,Chapter,Chap-ter,Basahin mo ang chapter.,Read the chapter.,
Charge,Charge,Charj,Charge mo ang phone ko.,Charge my phone.,
Chat,Chat,Chat,Nag-chat kami kahapon.,We chatted yesterday.,
Check,Check,Chek,Check mo ang papel.,Check the paper.,
Chef,Chef,Shef,Chef ang ate ko.,My sister is a chef.,
Chemical,Chemical,Ke-mi-kal,Nasa lab ang chemical.,The chemical is in the lab.,
Chess,Chess,Ches,Naglaro kami ng chess.,We played chess.,
Chest,Chest,Chest,Masakit ang chest ko.,My chest hurts.,
Chicken,Chicken,Chi-ken,Kumain ako ng chicken.,I ate chicken.,
Chief,Chief,Cheef,Chief ang tatay ko.,My dad is the chief.,
Child,Child,Chayld,Nasa park ang child.,The child is in the park.,
Chinelas,Slippers,Chee-neh-las,Nasa paanan ang chinelas.,The slippers are at my feet.,
Chip,Chip,Chip,Bumili ako ng chip.,I bought a chip.,
Chips,Chips,Chips,Gusto ko ng chips.,I want chips.,
Chocolate,Chocolate,Cho-ko-let,Nasa ref ang chocolate.,The chocolate is in the fridge.,
Choice,Choice,Choys,Ano ang choice mo?,What's your choice?,
Chop,Chop,Chop,Chop mo ang kahoy.,Chop the wood.,
Chorus,Chorus,Ko-rus,Nasa chorus siya ng kanta.,He's in the chorus of the song.,
Christ,Christ,Krayst,Nasa krus si Christ.,Christ is on the cross.,
Christmas,Christmas,Kris-mas,Maligaya ang Christmas natin.,Our Christmas is joyful.,
Church,Church,Church,Nasa church ang misa.,The mass is in the church.,
Cicatriz, Scar, si-ka-tris, May cicatriz siya sa noo., He has a scar on his forehead.,
Cigar,Cigar,See-gar,Nasa mesa ang cigar.,The cigar is on the table.,
Cigarette,Cigarette,See-ga-ret,Bumili ako ng cigarette.,I bought a cigarette.,
Cinema,Cinema,See-neh-mah,Nasa cinema kami kahapon.,We were at the cinema yesterday.,
Cinturon, Belt, sin-tu-ron, Mahal ang bagong cinturon., The new belt is expensive.,
Circle,Circle,Sir-kul,Bilog ang circle sa papel.,The circle on the paper is round.,
Circus,Circus,Sir-kus,Nasa bayan ang circus.,The circus is in town.,
City,City,See-tee,Nasa city ang trabaho ko.,My job is in the city.,
Civil,Civil,See-vil,Civil ang kasal nila.,Their wedding is civil.,
Class,Class,Klas,Nasa class ang guro.,The teacher is in class.,
Classic,Classic,Kla-sik,Classic ang kotse niya.,His car is classic.,
Clean,Clean,Kleen,Linisin mo ang clean na mesa.,Clean the clean table.,
Clear,Clear,Kleer,Clear ang tubig sa baso.,The water in the glass is clear.,
Clerk,Clerk,Klark,Nasa tindahan ang clerk.,The clerk is in the store.,
Client,Client,Klay-yent,Marami ang client niya.,He has many clients.,
Clinic,Clinic,Kli-nik,Nasa clinic ang doktor.,The doctor is in the clinic.,
Clip,Clip,Klip,Ilagay mo ang clip sa papel.,Put the clip on the paper.,
Clock,Clock,Klok,Nasa dingding ang clock.,The clock is on the wall.,
Close,Close,Klos,Close mo ang pinto.,Close the door.,
Closet,Closet,Klo-set,Nasa closet ang damit ko.,My clothes are in the closet.,
Cloth,Cloth,Kloth,Gamitin mo ang cloth.,Use the cloth.,
Club,Club,Klab,Nasa club ang party.,The party is in the club.,
Coach,Coach,Koch,Coach ang tito ko.,My uncle is a coach.,
Coal,Coal,Kohl,Nasa kusina ang coal.,The coal is in the kitchen.,
Coat,Coat,Kot,Suot ko ang coat.,I'm wearing the coat.,
Coche, Car, koh-che, Bumili siya ng bagong coche., He bought a new car.,
Cocktail,Cocktail,Kok-teyl,Gusto ko ng cocktail.,I want a cocktail.,
Coco, Coconut, ko-ko, Gamit ang coco sa pagluluto., Coconut is used in cooking.,
Coconut,Coconut,Ko-ko-nat,Nasa puno ang coconut.,The coconut is in the tree.,
Code,Code,Kod,Ano ang code ng lock?,What's the code of the lock?,
Coffee,Coffee,Ko-pee,Uminom ako ng coffee.,I drank coffee.,
Coin,Coin,Koyn,Nasa bulsa ang coin ko.,The coin is in my pocket.,
Cold,Cold,Kold,Malamig ang cold water.,The cold water is cold.,
Colgate,Colgate (toothpaste),Kol-geyt,Gamit ko ang Colgate.,I use Colgate.,
College,College,Ko-ledj,Nasa college ang ate ko.,My sister is in college.,
Color,Color,Ku-lor,Ano ang color ng bag?,What's the color of the bag?,
Column,Column,Ko-lum,Nasa dyaryo ang column.,The column is in the newspaper.,
Comb,Comb,Kohm,Gamitin mo ang comb.,Use the comb.,
Comedy,Comedy,Ko-me-dee,Nakakatawa ang comedy.,The comedy is funny.,
Comfort,Comfort,Kum-fort,Comfort ang upuan.,The chair is comfortable.,
Comic,Comic,Ko-mik,Bumili ako ng comic.,I bought a comic.,
Comida, Food, ko-mee-da, Masarap ang comida sa bahay nila., The food in their house is delicious.,
Company,Company,Kum-pa-nee,Nasa company ang nanay ko.,My mom is at the company.,
Complete,Complete,Kom-pleet,Complete na ang trabaho.,The work is complete.,
Computer,Computer,Kom-pyu-ter,Nasa kwarto ang computer.,The computer is in the room.,
Concert,Concert,Kon-sert,Nasa concert kami bukas.,We'll be at the concert tomorrow.,
Condensed,Condensed,Kon-densd,Gusto ko ng condensed milk.,I want condensed milk.,
Condition,Condition,Kon-di-shon,Ano ang condition ng kotse?,What's the condition of the car?,
Contest,Contest,Kon-test,Sali ako sa contest.,I'll join the contest.,
Contract,Contract,Kon-trakt,Pirmahan mo ang contract.,Sign the contract.,
Control,Control,Kon-trol,Control mo ang TV.,Control the TV.,
Cook,Cook,Kuk,Kumain kami ng cook na pagkain.,We ate cooked food.,
Cool,Cool,Kool,Cool ang hangin ngayon.,The air is cool now.,
Copy,Copy,Ko-pee,Copy mo ang sagot.,Copy the answer.,
Cord,Cord,Kord,Nasa mesa ang cord.,The cord is on the table.,
Cork,Cork,Kork,Gamitin mo ang cork.,Use the cork.,
Corn,Corn,Korn,Kumain ako ng corn.,I ate corn.,
Corner,Corner,Kor-ner,Nasa corner ang upuan.,The chair is in the corner.,
Coro, Choir, ko-ro, Sumali siya sa coro sa simbahan., He joined the church choir.,
Corte, Cut, kor-te, Maganda ang corte ng damit niya., The cut of her dress is beautiful.,
Cost,Cost,Kost,Magkano ang cost?,How much is the cost?,
Costume,Costume,Kos-tyum,Suot ko ang costume.,I'm wearing the costume.,
Cottage,Cottage,Ko-tidj,Nasa bukid ang cottage.,The cottage is in the field.,
Cotton,Cotton,Ko-ton,Gawa sa cotton ang damit.,The clothes are made of cotton.,
Couch,Couch,Kowch,Nasa sala ang couch.,The couch is in the living room.,
Count,Count,Kownt,Count mo ang pera.,Count the money.,
Coupon,Coupon,Koo-pon,Meron akong coupon.,I have a coupon.,
Course,Course,Kors,Ano ang course mo?,What's your course?,
Court,Court,Kort,Nasa court ang laro.,The game is in the court.,
Cover,Cover,Ku-ver,Cover mo ang libro.,Cover the book.,
Cow,Cow,Kaw,Nasa bukid ang cow.,The cow is in the field.,
Crab,Crab,Krab,Nasa dagat ang crab.,The crab is in the sea.,
Cracker,Cracker,Kra-ker,Kumain ako ng cracker.,I ate a cracker.,
Cream,Cream,Kreem,Lagyan mo ng cream ang cake.,Put cream on the cake.,
Credit,Credit,Kre-dit,Nasa credit ang bayad.,The payment is on credit.,
Crew,Crew,Kroo,Nasa barko ang crew.,The crew is on the ship.,
Crime,Crime,Kraym,Walang crime dito.,There's no crime here.,
Crisis,Crisis,Kray-sis,May crisis sa bayan.,There's a crisis in town.,
Crisp,Crisp,Krisp,Crisp ang chips ko.,My chips are crisp.,
Cross,Cross,Kros,Nasa simbahan ang cross.,The cross is in the church.,
Crowd,Crowd,Krawd,Marami ang crowd sa palengke.,The crowd in the market is big.,
Crown,Crown,Krawn,Suot niya ang crown.,She's wearing the crown.,
Cruise,Cruise,Krooz,Nasa cruise kami bukas.,We'll be on a cruise tomorrow.,
Crush,Crush,Krash,May crush ako sa kanya.,I have a crush on him.,
Cruz, Cross, kruz, Nakadikit ang cruz sa pinto., The cross is attached to the door.,
Cry,Cry,Kray,Nag-cry ang bata.,The child cried.,
Crystal,Crystal,Kris-tal,Maganda ang crystal na iyan.,That crystal is beautiful.,
Cuadro, Frame, kwa-dro, Maganda ang cuadro sa dingding., The frame on the wall is beautiful.,
Cual, Which, kwal, Cual ang gusto mong bilhin?, Which one do you want to buy?,
Cube,Cube,Kyub,Gawa sa ice ang cube.,The cube is made of ice.,
Cubo, Bucket, ku-bo, May tubig sa cubo., There is water in the bucket.,
Cuchara, Spoon, ku-cha-ra, Huwag kalimutan ang cuchara., Don't forget the spoon.,
Cuchillo, Knife, ku-chi-yo, Matulis ang cuchillo., The knife is sharp.,
Cue,Cue,Kyoo,Hintayin mo ang cue.,Wait for the cue.,
Cuerda, String, kwer-da, Hawakan mong mabuti ang cuerda., Hold the string tightly.,
Culture,Culture,Kul-tyur,Maganda ang culture natin.,Our culture is beautiful.,
Cuna, Cradle, ku-na, Nasa cuna ang sanggol., The baby is in the cradle.,
Cup,Cup,Kap,Nasa mesa ang cup ko.,My cup is on the table.,
Cure,Cure,Kyur,May cure ang sakit.,There's a cure for the disease.,
Current,Current,Ku-rent,Ano ang current news?,What's the current news?,
Curtain,Curtain,Kur-tin,Nasa bintana ang curtain.,The curtain is on the window.,
Curve,Curve,Kurv,Curve ang daan.,The road is curved.,
Custom,Custom,Kus-tom,Sundin mo ang custom.,Follow the custom.,
Cut,Cut,Kat,Cut mo ang papel.,Cut the paper.,
Cycle,Cycle,Say-kul,Nasa cycle ang buhay.,Life is a cycle.,
Daan,Road,Dah-an,Malawak ang daan.,The road is wide.,1
Daga, Rat, da-ga, May daga sa kusina., There is a rat in the kitchen.,
Dagaang,Scorch,Dah-gah-ang,Nadagaang ang pagkain.,The food got scorched.,
Dagat, Sea, da-gat, Malinaw ang tubig sa dagat., The water in the sea is clear.,
Dagdag,Extra,Dag-dag,May dagdag na bayad.,There's an extra payment.,
Dagdagan,Add,Dag-dah-gan,Dagdagan mo ang asin.,Add more salt.,
Dagdagsundo,Fetch extra,Dag-dag-soon-doh,Dagdagsundo mo ang bata.,Fetch the child as an extra.,
Dahak,Sneeze,Dah-hak,Nagdahak siya kanina.,He sneezed earlier.,
Dahil, Because, da-hil, Umalis siya dahil sa ulan., He left because of the rain.,
Dahilan,Reason,Dah-hee-lan,Ano ang dahilan mo?,What's your reason?,
Dahon, Leaf, da-hon, Nalaglag ang dahon mula sa puno., The leaf fell from the tree.,
Dahop,Poor,Dah-hop,Dahop ang pamilya niya.,His family is poor.,
Dako,Side,Dah-koh,Nasa dako ito ng bundok.,It's on the side of the mountain.,
Dako-dako,Somewhat big,Dah-koh-dah-koh,Dako-dako ang bahay.,The house is somewhat big.,
Dala,Bring,Dah-lah,Dala mo ang payong.,Bring the umbrella.,
Daladala,Carrying,Dah-lah-dah-lah,Daladala ko ang bag.,I'm carrying the bag.,
Dalag,Snakehead fish,Dah-lag,Nasa ilog ang dalag.,The snakehead fish is in the river.,
Dalaga, Young woman, da-la-ga, Maganda ang dalaga sa kasal., The young woman is beautiful at the wedding.,
Dalagang-bukid,Mudfish,Dah-lah-gang-boo-kid,Gusto ko ng dalagang-bukid.,I like mudfish.,
Dalampasigan, Shore, da-lam-pa-si-gan, Naglakad kami sa dalampasigan., We walked along the shore.,
Dalangin,Prayer,Dah-lah-ngin,Dalangin ko ang kalusugan.,My prayer is for health.,
Dalas,Frequency,Dah-las,Madalas siyang umabsent.,He's frequently absent.,
Dalaw,Visit,Dah-lao,Dalaw ka sa bahay.,Visit the house.,
Dalawa,Two,Dah-lah-wah,Dalawa ang anak ko.,I have two children.,1
Dalawampu, Twenty, da-la-wam-pu,,,1
Dalawang-daan,Two hundred,Dah-lah-wang-dah-an,Dalawang-daan ang bayad.,The payment is two hundred.,
Dalhin,Carry,Dal-heen,Dalhin mo ang kahon.,Carry the box.,
Dali, Quick, da-li, Magdali ka nang umalis., Hurry up and leave.,
Daliri, Finger, da-li-ri, Nasugatan ang kanyang daliri., His finger got wounded.,
Dalisay,Pure,Dah-lee-sai,Dalisay ang tubig.,The water is pure.,
Dalisdis,Slide,Dah-lis-dis,Nadalisdis siya sa burol.,He slid down the hill.,
Damdam,Feel,Dam-dam,Damdam mo ang init.,Feel the heat.,
Damdamin, Feelings, dam-da-min, Itinatago niya ang kanyang damdamin., He hides his feelings.,
Dami, Quantity, da-mi, Marami ang dami ng tao sa kalsada., There are a lot of people on the street.,
Damit,Clothes,Dah-mit,Bago ang damit ko.,My clothes are new.,1
Damo,Grass,Dah-mo,Marami ang damo sa bukid.,There's a lot of grass in the field.,
Damo-damo,Grassy,Dah-mo-dah-mo,Damo-damo ang lugar.,The place is grassy.,
Dampol,Pick,Dam-pol,Dampol mo ang bulaklak.,Pick the flower.,
Dampot,Pick up,Dam-pot,Dampot mo ang papel.,Pick up the paper.,
Danao,Lake,Dah-now,Malaki ang danao.,The lake is big.,
Dangal,Honor,Dang-al,Panindigan mo ang dangal.,Stand up for your honor.,
Dangkal,Span (hand),Dang-kal,Dangkal ang haba.,The length is a hand span.,
Danlak,Fall,Dahn-lak,Nadanlak ang bola.,The ball fell.,
Dansa,Dance,Dan-sah,Nagdansa kami kagabi.,We danced last night.,
Dapa,Lie face down,Dah-pah,Dapa ka sa sahig.,Lie face down on the floor.,
Dapat,Should,Dah-pat,Dapat matulog ka nang mahimbing.,You should sleep well.,
Dapat-dapat,Deserving,Dah-pat-dah-pat,Dapat-dapat siya ng gantimpala.,He deserves a reward.,
Daraanan,Path,Dah-rah-nah-an,Malayo ang daraanan.,The path is far.,
Darami,Multiply,Dah-rah-mee,Darami ang tao sa party.,The people at the party will multiply.,
Darating,Arrive,Dah-rah-ting,Darating siya mamaya.,He'll arrive later.,
Dasal, Prayer, da-sal, Nagdasal siya bago matulog., He prayed before sleeping.,
Dasal-dasal,Pray often,Dah-sal-dah-sal,Dasal-dasal siya tuwing gabi.,He prays often every night.,
Data,Data,Dah-tah,Nasa computer ang data.,The data is in the computer.,
Dati,Before,Dah-tee, mahirap kami,Before we were poor.,
Dating,Arrival,Dah-ting,Mabilis ang dating niya.,His arrival was fast.,
Dato,Chief (old term),Dah-toh,Dato ang lolo ko.,My grandpa was a chief.,
Datu,Chieftain,Dah-too,Datu ang pinuno noon.,The leader then was a chieftain.,
Daw,They say,Dow, maganda daw ito.,They say this is beautiful.,
Daya,Cheat,Dah-yah,Huwag kang mandaya.,Don't cheat.,
Dayain,Cheat (verb),Dah-yah-in,Huwag mong dayain ang laro.,Don't cheat in the game.,
Dayami,Hay,Dah-yah-mee,Nasa kamalig ang dayami.,The hay is in the barn.,
Dayap,Lime,Dah-yap,Gusto ko ng dayap juice.,I want lime juice.,
Dayuhan,Foreigner,Dah-yoo-han,Dayuhan ang bisita.,The visitor is a foreigner.,
Debate,Debate,Deh-beyt,Nag-debate kami kahapon.,We debated yesterday.,
December,December,Deh-sem-ber,Nasa December ang Pasko.,Christmas is in December.,
Dedma,Ignore,Dead-mah,Dedma mo ang ingay.,Ignore the noise.,
Dekada,Decade,Deh-kah-dah,Matagal ang dekada.,The decade was long.,
Delata,Canned goods,Deh-lah-tah,Bumili ako ng delata.,I bought canned goods.,
Delikadesa,Delicacy (manners),Deh-lee-kah-deh-sah,May delikadesa siya.,He has delicacy in manners.,
Delikado,Dangerous,Deh-lee-kah-doh,Delikado ang lugar na ito.,This place is dangerous.,
Demokrasya,Democracy,Deh-moh-krah-syah,May demokrasya ang bansa.,The country has democracy.,
Demon,Demon,Deh-mon,Nasa kwento ang demon.,The demon is in the story.,
Demonyo,Devil,Deh-mon-yoh,Takot ako sa demonyo.,I'm scared of the devil.,
Dendeng,Dried fish,Den-deng,Kumain ako ng dendeng.,I ate dried fish.,
Densidad,Density,Den-see-dad,Alamin mo ang densidad.,Find out the density.,
Dentista,Dentist,Den-tis-tah,Nasa dentista si nanay.,Mom is at the dentist.,
Department,Department,Deh-part-ment,Nasa department ang boss.,The boss is in the department.,
Depende,Depends,Deh-pen-deh,Depende sa oras.,It depends on the time.,
Depensa,Defense,Deh-pen-sah,Matibay ang depensa niya.,His defense is strong.,
Deposit,Deposit,Deh-po-sit,Ilagay mo sa bank ang deposit.,Put the deposit in the bank.,
Depresyon,Depression,Deh-pres-yon,May depresyon siya.,He has depression.,
Deretsahan,Frankly,Deh-ret-sah-han,Deretsahan niyang sinabi.,He said it frankly.,
Deretso,Straight,Deh-ret-soh,Deretso ang daan.,The road is straight.,
Desisyunan,Decision point,Deh-see-syoo-nan,Nasa desisyunan na kami.,We're at the decision point.,
Desk,Desk,Desk,Nasa kwarto ang desk ko.,My desk is in the room.,
Dessert,Dessert,Deh-sert,Gusto ko ng dessert.,I want dessert.,
Destinasyon,Destination,Des-tee-nah-syon,Ano ang destinasyon mo?,What's your destination?,
Detalye,Detail,Deh-tal-yeh,Sabihin mo ang detalye.,Tell me the detail.,
Detective,Detective,Deh-tek-tiv,Detective ang tito ko.,My uncle is a detective.,
Diamante,Diamond,Dee-yah-man-teh,Mahal ang diamante.,The diamond is expensive.,
Diary,Diary,Dai-ya-ree,Nasa bag ang diary ko.,My diary is in my bag.,
Dibdib,Chest,Deeb-deeb,Masakit ang dibdib ko.,My chest hurts.,
Diborsyo,Divorce,Dee-bor-syoh,May diborsyo ang magulang ko.,My parents have a divorce.,
Dibuho,Drawing (variant),Dee-boo-hoh,Gumawa siya ng dibuho.,He made a drawing.,
Dice,Dice,Days,Roll mo ang dice.,Roll the dice.,
Didto,There (variant),Deed-toh,Nasa didto ang tindahan.,The store is over there.,
Diesel,Diesel,Dee-sel,Gamit nila ang diesel.,They use diesel.,
Diet,Diet,Dai-yet,Nasa diet ako ngayon.,I'm on a diet now.,
Diferente,Different,Dee-feh-ren-teh,Diferente ang kulay.,The color is different.,
Digmaan,War,Deeg-mah-an,Matagal ang digmaan.,The war was long.,
Dignidad,Dignity,Deeg-nee-dad,Panatilihin mo ang dignidad.,Maintain your dignity.,
Dignos,Diagnose,Deeg-nos,Dignos ng doktor ang sakit.,The doctor diagnosed the disease.,
Digo,Bathe (with water),Dee-goh,Digo mo ang aso.,Bathe the dog with water.,
Dihins,Not really,Dee-hins,Dihins maganda ang ulan.,The rain isn't really nice.,
Dikdikan,Pestle,Deek-dee-kan,Gamitin mo ang dikdikan.,Use the pestle.,
Dikit,Stick,Dee-kit,Dikit ang papel sa dingding.,The paper sticks to the wall.,
Diklap, Spark, dik-lap, May diklap ng apoy sa kandila., There is a spark of fire in the candle.,
Dikta,Dictate,Deek-tah,Dikta mo ang sagot.,Dictate the answer.,
Dikya, Jellyfish, dik-ya, Maraming dikya sa dagat., There are many jellyfish in the sea.,
Dila,Tongue,Dee-lah,Mahaba ang dila niya.,His tongue is long.,
Dilat,Open wide (eyes),Dee-lat,Dilat ang mata niya.,His eyes are wide open.,
Dildil,Lick,Deel-deel,Dildil mo ang ice cream.,Lick the ice cream.,
Dilim, Darkness, di-lim, Takot siya sa dilim., He is afraid of the dark.,
Dingding,Wall,Ding-ding,Nasa dingding ang larawan.,The picture is on the wall.,
Dinig, Hearing, di-nig, Mahina ang dinig niya., His hearing is weak.,
Dinosaur,Dinosaur,Dai-no-sor,Nasa museum ang dinosaur.,The dinosaur is in the museum.,
Dios,God,Dee-yos,Salamat sa Dios.,Thank God.,
Director,Director,Dee-rek-tor,Director ang tita ko.,My aunt is a director.,
Direksyon,Direction,Dee-rek-syon,Saan ang direksyon natin?,Where's our direction?,
Direkta,Direct,Dee-rek-tah,Direkta ang sagot niya.,His answer is direct.,
Diretso,Straight,di-ret-so,,,1
Diri,Disgust,Dee-ree,Nakakadiri ang basura.,The trash is disgusting.,
Disco,Disco,Dis-koh,Nasa disco ang party.,The party is at the disco.,
Discount,Discount,Dis-kawnt,May discount ang tindahan.,The store has a discount.,
Disease,Disease,Di-zeez,May disease ang lolo ko.,My grandpa has a disease.,
Diskarte,Strategy,Dis-kar-teh,Matibay ang diskarte niya.,His strategy is strong.,
Disko,Disko (variant),Dis-koh,Nasa disko ang sayawan.,The dance is at the disco.,
